Modality,DICE,Count
lpd_unet_0_1,0.00,472
lpd_unet_0_1,0.10,29
lpd_unet_0_1,0.20,26
lpd_unet_0_1,0.30,41
lpd_unet_0_1,0.40,29
lpd_unet_0_1,0.50,30
lpd_unet_0_1,0.60,31
lpd_unet_0_1,0.70,22
lpd_unet_0_1,0.80,6
lpd_unet_0_1,0.90,0
lpd_unet_0_2,0.00,495
lpd_unet_0_2,0.10,37
lpd_unet_0_2,0.20,30
lpd_unet_0_2,0.30,27
lpd_unet_0_2,0.40,29
lpd_unet_0_2,0.50,25
lpd_unet_0_2,0.60,19
lpd_unet_0_2,0.70,23
lpd_unet_0_2,0.80,1
lpd_unet_0_2,0.90,0
lpd_unet_0_3,0.00,493
lpd_unet_0_3,0.10,35
lpd_unet_0_3,0.20,31
lpd_unet_0_3,0.30,29
lpd_unet_0_3,0.40,32
lpd_unet_0_3,0.50,26
lpd_unet_0_3,0.60,28
lpd_unet_0_3,0.70,11
lpd_unet_0_3,0.80,1
lpd_unet_0_3,0.90,0
lpd_unet_0_4,0.00,471
lpd_unet_0_4,0.10,37
lpd_unet_0_4,0.20,27
lpd_unet_0_4,0.30,32
lpd_unet_0_4,0.40,38
lpd_unet_0_4,0.50,36
lpd_unet_0_4,0.60,24
lpd_unet_0_4,0.70,19
lpd_unet_0_4,0.80,2
lpd_unet_0_4,0.90,0
lpd_unet_0_5,0.00,509
lpd_unet_0_5,0.10,31
lpd_unet_0_5,0.20,30
lpd_unet_0_5,0.30,32
lpd_unet_0_5,0.40,31
lpd_unet_0_5,0.50,19
lpd_unet_0_5,0.60,17
lpd_unet_0_5,0.70,14
lpd_unet_0_5,0.80,3
lpd_unet_0_5,0.90,0
lpd_unet_0_6,0.00,488
lpd_unet_0_6,0.10,29
lpd_unet_0_6,0.20,27
lpd_unet_0_6,0.30,29
lpd_unet_0_6,0.40,29
lpd_unet_0_6,0.50,40
lpd_unet_0_6,0.60,21
lpd_unet_0_6,0.70,20
lpd_unet_0_6,0.80,3
lpd_unet_0_6,0.90,0
lpd_unet_0_7,0.00,474
lpd_unet_0_7,0.10,39
lpd_unet_0_7,0.20,28
lpd_unet_0_7,0.30,24
lpd_unet_0_7,0.40,33
lpd_unet_0_7,0.50,36
lpd_unet_0_7,0.60,30
lpd_unet_0_7,0.70,21
lpd_unet_0_7,0.80,1
lpd_unet_0_7,0.90,0
lpd_unet_0_8,0.00,501
lpd_unet_0_8,0.10,36
lpd_unet_0_8,0.20,25
lpd_unet_0_8,0.30,22
lpd_unet_0_8,0.40,32
lpd_unet_0_8,0.50,30
lpd_unet_0_8,0.60,26
lpd_unet_0_8,0.70,13
lpd_unet_0_8,0.80,1
lpd_unet_0_8,0.90,0
lpd_unet_0_9,0.00,457
lpd_unet_0_9,0.10,46
lpd_unet_0_9,0.20,30
lpd_unet_0_9,0.30,33
lpd_unet_0_9,0.40,37
lpd_unet_0_9,0.50,35
lpd_unet_0_9,0.60,31
lpd_unet_0_9,0.70,11
lpd_unet_0_9,0.80,6
lpd_unet_0_9,0.90,0
lpd_unet_1,0.00,446
lpd_unet_1,0.10,39
lpd_unet_1,0.20,38
lpd_unet_1,0.30,43
lpd_unet_1,0.40,22
lpd_unet_1,0.50,36
lpd_unet_1,0.60,22
lpd_unet_1,0.70,31
lpd_unet_1,0.80,9
lpd_unet_1,0.90,0
lpd_unet_sequential,0.00,495
lpd_unet_sequential,0.10,49
lpd_unet_sequential,0.20,31
lpd_unet_sequential,0.30,34
lpd_unet_sequential,0.40,25
lpd_unet_sequential,0.50,33
lpd_unet_sequential,0.60,11
lpd_unet_sequential,0.70,8
lpd_unet_sequential,0.80,0
lpd_unet_sequential,0.90,0
