Annotation,Modality,Value
small,sequential,0.0511106607880756
small,0.1,0.0516357719302451
small,0.2,0.0500811303614461
small,0.3,0.0528285619132916
small,0.4,0.0553559920375383
small,0.5,0.0467987167572443
small,0.6,0.0562110238162584
small,0.7,0.0653685666766452
small,0.8,0.0539530875526754
small,0.9,0.0682906042470165
small,end-to-end,0.0749725645570175
large,sequential,0.2805395402950953
large,0.1,0.3415388450119024
large,0.2,0.3095672035413124
large,0.3,0.2887562131700094
large,0.4,0.323789122163004
large,0.5,0.2785639380171195
large,0.6,0.3070782428390488
large,0.7,0.3150148923070142
large,0.8,0.2702298737554918
large,0.9,0.317747083939452
large,end-to-end,0.3318835431078104
with,sequential,0.0679181835687353
with,0.1,0.0738727947624458
with,0.2,0.069061661311631
with,0.3,0.0693189746963355
with,0.4,0.0760316324967289
with,0.5,0.063127920305872
with,0.6,0.0756915135908278
with,0.7,0.0838479140064379
with,0.8,0.0687048923564807
with,0.9,0.0873130218661512
with,end-to-end,0.0895320429821505
without,sequential,0.0
without,0.1,0.0
without,0.2,0.0
without,0.3,0.0
without,0.4,0.0
without,0.5,0.0
without,0.6,0.0
without,0.7,0.0
without,0.8,0.0
without,0.9,0.0
without,end-to-end,0.0
