Modality,Annotation Size,FN
lpd_unet_0_1,52.75,47.9997329712
lpd_unet_0_1,71.5,79.9972457886
lpd_unet_0_1,30.25,33.465534210200005
lpd_unet_0_1,30.3333333333,24.32652950285667
lpd_unet_0_1,28.0,31.155902862549997
lpd_unet_0_1,20.25,25.494657516449998
lpd_unet_0_1,9.33333333333,7.9978313446
lpd_unet_0_1,26.0,28.113995790487504
lpd_unet_0_1,21.0,18.429849754678184
lpd_unet_0_1,24.0,23.091026878370002
lpd_unet_0_1,40.75,33.9956741333
lpd_unet_0_1,38.5,38.198470687859995
lpd_unet_0_1,20.75,23.9940700531
lpd_unet_0_1,19.0,18.982483863833334
lpd_unet_0_1,6.0,4.8571846604368005
lpd_unet_0_1,16.0,16.85602741242
lpd_unet_0_1,29.5,14.99989557265
lpd_unet_0_1,37.5,35.36506207783333
lpd_unet_0_1,17.0,16.721835517869998
lpd_unet_0_1,13.0,13.220744556861112
lpd_unet_0_1,52.0,49.47090466816667
lpd_unet_0_1,40.0,44.241989612575
lpd_unet_0_1,80.0,84.331548055
lpd_unet_0_1,50.0,45.088579177849994
lpd_unet_0_1,19.6666666667,16.9780041377
lpd_unet_0_1,29.1666666667,10.0
lpd_unet_0_1,45.25,42.4924316406
lpd_unet_0_1,63.0,64.82979710896667
lpd_unet_0_1,31.3333333333,40.499979019150004
lpd_unet_0_1,124.0,123.998474121
lpd_unet_0_1,114.0,129.40715535500001
lpd_unet_0_1,127.666666667,96.7209320068
lpd_unet_0_1,203.0,139.6856079103
lpd_unet_0_1,240.333333333,112.346595764
lpd_unet_0_1,147.0,73.66098785404999
lpd_unet_0_1,50.6666666667,77.9982299805
lpd_unet_0_1,18.0,15.456937869385001
lpd_unet_0_1,56.5,39.9675445557
lpd_unet_0_1,97.0,80.79261398315
lpd_unet_0_1,146.5,28.8189620972
lpd_unet_0_1,107.5,22.8961086273
lpd_unet_0_1,48.3333333333,77.8741912842
lpd_unet_0_1,191.0,96.87326304129999
lpd_unet_0_1,208.0,73.166595459
lpd_unet_0_1,47.0,44.95303268434
lpd_unet_0_1,32.0,34.99595038096667
lpd_unet_0_1,121.0,142.4861602785
lpd_unet_0_1,17.6666666667,23.9999980927
lpd_unet_0_1,23.0,23.8957113266
lpd_unet_0_1,113.75,94.9802932739
lpd_unet_0_1,148.75,110.970001221
lpd_unet_0_1,201.75,161.958282471
lpd_unet_0_1,239.75,299.926513672
lpd_unet_0_1,289.5,206.965286255
lpd_unet_0_1,248.0,211.964279175
lpd_unet_0_1,104.0,119.977531433
lpd_unet_0_1,94.0,101.28693008414999
