Modality,Annotation Size,FP
lpd_unet_0_1,52.75,1.20842385292
lpd_unet_0_1,71.5,0.847644746304
lpd_unet_0_1,30.25,21.689597189418
lpd_unet_0_1,30.3333333333,98.22129344953333
lpd_unet_0_1,28.0,21.70659375191333
lpd_unet_0_1,20.25,12.09964942935
lpd_unet_0_1,9.33333333333,9.65579223633
lpd_unet_0_1,26.0,70.668011307725
lpd_unet_0_1,21.0,32.370086859573725
lpd_unet_0_1,24.0,107.8341860681995
lpd_unet_0_1,40.75,14.7094154358
lpd_unet_0_1,38.5,19.619876265532
lpd_unet_0_1,20.75,13.0531845093
lpd_unet_0_1,19.0,67.25805290534332
lpd_unet_0_1,6.0,167.02366905214004
lpd_unet_0_1,16.0,28.4066886425162
lpd_unet_0_1,29.5,0.6017806082965
lpd_unet_0_1,37.5,21.817894726978334
lpd_unet_0_1,17.0,105.96201463046721
lpd_unet_0_1,13.0,14.657784183818222
lpd_unet_0_1,52.0,74.67935816453333
lpd_unet_0_1,40.0,34.55938953165875
lpd_unet_0_1,80.0,62.83797629685333
lpd_unet_0_1,50.0,44.093999246829505
lpd_unet_0_1,19.6666666667,169.0606702168
lpd_unet_0_1,29.1666666667,152.5625
lpd_unet_0_1,45.25,65.228457301851
lpd_unet_0_1,63.0,101.41783157982667
lpd_unet_0_1,31.3333333333,215.216480255
lpd_unet_0_1,124.0,12.0721082687
lpd_unet_0_1,114.0,6.207829475406666
lpd_unet_0_1,127.666666667,7.23355531693
lpd_unet_0_1,203.0,22.2504520416
lpd_unet_0_1,240.333333333,35.7645339966
lpd_unet_0_1,147.0,23.19683098791
lpd_unet_0_1,50.6666666667,23.7249412537
lpd_unet_0_1,18.0,173.95195865633332
lpd_unet_0_1,56.5,495.050170898
lpd_unet_0_1,97.0,294.01330649856004
lpd_unet_0_1,146.5,65.3414916992
lpd_unet_0_1,107.5,48.7951622009
lpd_unet_0_1,48.3333333333,1.11147212982
lpd_unet_0_1,191.0,65.53121381996733
lpd_unet_0_1,208.0,113.934799194
lpd_unet_0_1,47.0,14.991332054126
lpd_unet_0_1,32.0,25.3714315493965
lpd_unet_0_1,121.0,65.71014738091
lpd_unet_0_1,17.6666666667,136.961532593
lpd_unet_0_1,23.0,74.395018374952
lpd_unet_0_1,113.75,34.5467376709
lpd_unet_0_1,148.75,39.4379081726
lpd_unet_0_1,201.75,38.4711647034
lpd_unet_0_1,239.75,31.9513969421
lpd_unet_0_1,289.5,39.7294845581
lpd_unet_0_1,248.0,59.9364547729
lpd_unet_0_1,104.0,15.440038681
lpd_unet_0_1,94.0,41.8783502579
lpd_unet_0_1,77.0,45.490695667264006
lpd_unet_0_1,211.0,26.3827629089
lpd_unet_0_1,174.75,30.2302246094
lpd_unet_0_1,406.5,32.1989173889
lpd_unet_0_1,471.75,37.544418335
lpd_unet_0_1,365.25,34.2064437866
lpd_unet_0_1,158.75,30.9917087555
lpd_unet_0_1,153.0,17.492547988903336
lpd_unet_0_1,148.333333333,22.8100280762
lpd_unet_0_1,145.5,22.3295555115
lpd_unet_0_1,140.5,26.2342720032
lpd_unet_0_1,101.0,163.673192918535
lpd_unet_0_1,141.0,157.40530824680002
lpd_unet_0_1,172.25,223.855392456
lpd_unet_0_1,169.5,173.923843384
lpd_unet_0_1,141.75,152.828948975
lpd_unet_0_1,85.0,293.49583530415
lpd_unet_0_1,59.0,450.80365578339325
lpd_unet_0_1,12.0,149.01507047810568
lpd_unet_0_1,7.0,71.15363339021428
lpd_unet_0_1,14.0,82.22401390672681
lpd_unet_0_1,27.0,113.50975084320001
lpd_unet_0_1,99.3333333333,9.19897842407
lpd_unet_0_1,135.666666667,9.40001773834
lpd_unet_0_1,180.5,34.040318965935
lpd_unet_0_1,188.75,9.13404655457
lpd_unet_0_1,221.75,9.2918586731
lpd_unet_0_1,228.5,9.36220550537
lpd_unet_0_1,239.0,9.17211914062
lpd_unet_0_1,251.25,9.08115577698
lpd_unet_0_1,231.0,9.13981437683
lpd_unet_0_1,231.75,8.84050369263
lpd_unet_0_1,222.25,8.6825466156
lpd_unet_0_1,217.25,8.38492298126
lpd_unet_0_1,215.75,7.97299051285
lpd_unet_0_1,206.5,7.69559335709
