Annotation,Modality,Value
small,sequential,185.1901611863636
small,0.1,108.95502091769114
small,0.2,79.31197442313177
small,0.3,129.28927518750075
small,0.4,146.50089316490397
small,0.5,79.38475039421289
small,0.6,97.07976556889687
small,0.7,123.94193602128668
small,0.8,79.73404800255125
small,0.9,137.02992356001369
small,end-to-end,69.88530693993025
large,sequential,280.2989806689139
large,0.1,218.9946490971933
large,0.2,162.38141981350967
large,0.3,217.89324233680247
large,0.4,242.31015033526785
large,0.5,150.44233354304347
large,0.6,178.6517608095984
large,0.7,206.9064507974973
large,0.8,171.81143373702227
large,0.9,222.74126209722124
large,end-to-end,129.7879680636113
with,sequential,177.76513618032695
with,0.1,104.65938494522224
with,0.2,77.37018583848462
with,0.3,123.58638903683116
with,0.4,140.7381832905208
with,0.5,77.04520124015701
with,0.6,94.03267839227163
with,0.7,116.89932651170264
with,0.8,75.29661885125554
with,0.9,133.06005921803805
with,end-to-end,67.88043304084765
without,sequential,170.55899360168098
without,0.1,113.62414187273646
without,0.2,79.57923012759584
without,0.3,132.21815410062945
without,0.4,162.544864689755
without,0.5,74.82246521038526
without,0.6,99.76651456887988
without,0.7,127.79867806877938
without,0.8,69.83328754322442
without,0.9,136.89413872303118
without,end-to-end,53.701138309415896
