Modality,PSNR_loss,Count
lpd_unet_0_1,0.00,0
lpd_unet_0_1,0.10,0
lpd_unet_0_1,0.20,0
lpd_unet_0_1,0.30,0
lpd_unet_0_1,0.40,0
lpd_unet_0_1,0.50,0
lpd_unet_0_1,0.60,0
lpd_unet_0_1,0.70,0
lpd_unet_0_1,0.80,0
lpd_unet_0_2,0.00,0
lpd_unet_0_2,0.10,0
lpd_unet_0_2,0.20,0
lpd_unet_0_2,0.30,0
lpd_unet_0_2,0.40,0
lpd_unet_0_2,0.50,0
lpd_unet_0_2,0.60,0
lpd_unet_0_2,0.70,0
lpd_unet_0_2,0.80,0
lpd_unet_0_3,0.00,0
lpd_unet_0_3,0.10,0
lpd_unet_0_3,0.20,0
lpd_unet_0_3,0.30,0
lpd_unet_0_3,0.40,0
lpd_unet_0_3,0.50,0
lpd_unet_0_3,0.60,0
lpd_unet_0_3,0.70,0
lpd_unet_0_3,0.80,0
lpd_unet_0_4,0.00,0
lpd_unet_0_4,0.10,0
lpd_unet_0_4,0.20,0
lpd_unet_0_4,0.30,0
lpd_unet_0_4,0.40,0
lpd_unet_0_4,0.50,0
lpd_unet_0_4,0.60,0
lpd_unet_0_4,0.70,0
lpd_unet_0_4,0.80,0
lpd_unet_0_5,0.00,0
lpd_unet_0_5,0.10,0
lpd_unet_0_5,0.20,0
lpd_unet_0_5,0.30,0
lpd_unet_0_5,0.40,0
lpd_unet_0_5,0.50,0
lpd_unet_0_5,0.60,0
lpd_unet_0_5,0.70,0
lpd_unet_0_5,0.80,0
lpd_unet_0_6,0.00,0
lpd_unet_0_6,0.10,0
lpd_unet_0_6,0.20,0
lpd_unet_0_6,0.30,0
lpd_unet_0_6,0.40,0
lpd_unet_0_6,0.50,0
lpd_unet_0_6,0.60,0
lpd_unet_0_6,0.70,0
lpd_unet_0_6,0.80,0
lpd_unet_0_7,0.00,0
lpd_unet_0_7,0.10,0
lpd_unet_0_7,0.20,0
lpd_unet_0_7,0.30,0
lpd_unet_0_7,0.40,0
lpd_unet_0_7,0.50,0
lpd_unet_0_7,0.60,0
lpd_unet_0_7,0.70,0
lpd_unet_0_7,0.80,0
lpd_unet_0_8,0.00,0
lpd_unet_0_8,0.10,0
lpd_unet_0_8,0.20,0
lpd_unet_0_8,0.30,0
lpd_unet_0_8,0.40,0
lpd_unet_0_8,0.50,0
lpd_unet_0_8,0.60,0
lpd_unet_0_8,0.70,0
lpd_unet_0_8,0.80,0
lpd_unet_0_9,0.00,0
lpd_unet_0_9,0.10,0
lpd_unet_0_9,0.20,0
lpd_unet_0_9,0.30,0
lpd_unet_0_9,0.40,0
lpd_unet_0_9,0.50,0
lpd_unet_0_9,0.60,0
lpd_unet_0_9,0.70,0
lpd_unet_0_9,0.80,0
lpd_unet_1,0.00,0
lpd_unet_1,0.10,0
lpd_unet_1,0.20,0
lpd_unet_1,0.30,0
lpd_unet_1,0.40,0
lpd_unet_1,0.50,0
lpd_unet_1,0.60,0
lpd_unet_1,0.70,0
lpd_unet_1,0.80,0
lpd_unet_sequential,0.00,0
lpd_unet_sequential,0.10,0
lpd_unet_sequential,0.20,0
lpd_unet_sequential,0.30,0
lpd_unet_sequential,0.40,0
lpd_unet_sequential,0.50,0
lpd_unet_sequential,0.60,0
lpd_unet_sequential,0.70,0
lpd_unet_sequential,0.80,0
