Annotation,Modality,Value
large,sequential,0.0
large,0.1,-0.29008387114602385
large,0.2,-0.5298532734401391
large,0.3,-0.8256909252896634
large,0.4,-1.0818878221489143
large,0.5,-1.4979355404639279
large,0.6,-1.899530412202708
large,0.7,-2.602987221181781
large,0.8,-3.6941760395025334
large,0.9,-5.169243769112711
large,end-to-end,-17.33498951834916
small,sequential,0.0
small,0.1,-0.08616813899007525
small,0.2,-0.408165333637605
small,0.3,-0.7873315180529588
small,0.4,-1.0894163129571055
small,0.5,-1.4995497745707453
small,0.6,-1.9349145817140538
small,0.7,-2.6223715962340357
small,0.8,-3.6363996777871286
small,0.9,-5.071132148001663
small,end-to-end,-17.67002514352188
