Modality,Annotation Size,Sensitivity
lpd_unet_0_1,52.75,5.590145368624113e-06
lpd_unet_0_1,71.5,3.445713853799091e-05
lpd_unet_0_1,30.25,0.0010141136018570346
lpd_unet_0_1,30.3333333333,0.0005405510239008885
lpd_unet_0_1,28.0,0.0003078887199710587
lpd_unet_0_1,20.25,0.00023948890202305325
lpd_unet_0_1,9.33333333333,0.0002711413965379
lpd_unet_0_1,26.0,0.00039713695867220843
lpd_unet_0_1,21.0,0.0011809343349970644
lpd_unet_0_1,24.0,0.00038659808161784425
lpd_unet_0_1,40.75,0.0001273008029825
lpd_unet_0_1,38.5,4.750959817678592e-05
lpd_unet_0_1,20.75,0.0002470873862852
lpd_unet_0_1,19.0,0.0009218921407308806
lpd_unet_0_1,6.0,0.19046922939647762
lpd_unet_0_1,16.0,0.0017853460067650897
lpd_unet_0_1,29.5,6.948721582930964e-06
lpd_unet_0_1,37.5,0.017736739671765468
lpd_unet_0_1,17.0,0.004598227628015451
lpd_unet_0_1,13.0,0.00012973801436130895
lpd_unet_0_1,52.0,0.07107225475493627
lpd_unet_0_1,40.0,0.00019327553202297894
lpd_unet_0_1,80.0,2.2733393763093936e-05
lpd_unet_0_1,50.0,0.0017097480210547147
lpd_unet_0_1,19.6666666667,0.0010489591769469353
lpd_unet_0_1,29.1666666667,1.6676977742678412e-08
lpd_unet_0_1,45.25,0.0001759358229303644
lpd_unet_0_1,63.0,0.05372126394607989
lpd_unet_0_1,31.3333333333,6.383388414736796e-07
lpd_unet_0_1,124.0,1.2333233190480067e-05
lpd_unet_0_1,114.0,0.0037180493097287
lpd_unet_0_1,127.666666667,0.1515707150894176
lpd_unet_0_1,203.0,0.29018830084169256
lpd_unet_0_1,240.333333333,0.5198863428888889
lpd_unet_0_1,147.0,0.0387998867937283
lpd_unet_0_1,50.6666666667,2.27330876136088e-05
lpd_unet_0_1,18.0,0.14128121934839047
lpd_unet_0_1,56.5,0.0008113797805427
lpd_unet_0_1,97.0,0.1953959660426976
lpd_unet_0_1,146.5,0.8012485372609638
lpd_unet_0_1,107.5,0.7798451214656367
lpd_unet_0_1,48.3333333333,0.001612881900755
lpd_unet_0_1,191.0,0.21706844468250064
lpd_unet_0_1,208.0,0.6482375218317308
lpd_unet_0_1,47.0,0.0009451653768367721
lpd_unet_0_1,32.0,0.00012610286633775924
lpd_unet_0_1,121.0,8.613041965139582e-05
lpd_unet_0_1,17.6666666667,6.44092646705213e-08
lpd_unet_0_1,23.0,0.00018588309116889613
lpd_unet_0_1,113.75,0.000207434634797
lpd_unet_0_1,148.75,0.0002703135770206
lpd_unet_0_1,201.75,0.0002574085729003
lpd_unet_0_1,239.75,0.000244896897858
lpd_unet_0_1,289.5,0.0001676596299676
lpd_unet_0_1,248.0,0.000168540296413
lpd_unet_0_1,104.0,0.0001872221503397
lpd_unet_0_1,94.0,0.01094180824385445
lpd_unet_0_1,77.0,0.001462829264586235
lpd_unet_0_1,211.0,0.11084935223163435
lpd_unet_0_1,174.75,0.0008180432220272
lpd_unet_0_1,406.5,0.0031488386067157
lpd_unet_0_1,471.75,0.0096497533272628
lpd_unet_0_1,365.25,0.0062617148661342
lpd_unet_0_1,158.75,0.0012223740914832
lpd_unet_0_1,153.0,0.00044114299461686673
lpd_unet_0_1,148.333333333,0.0003287484488868
lpd_unet_0_1,145.5,0.000275571126882
lpd_unet_0_1,140.5,0.0003014201419398
lpd_unet_0_1,101.0,0.0007361724150355994
lpd_unet_0_1,141.0,0.0122714050138254
lpd_unet_0_1,172.25,0.0593859287937559
lpd_unet_0_1,169.5,0.0340012323152978
lpd_unet_0_1,141.75,0.0092799453510045
lpd_unet_0_1,85.0,0.00900653433039345
lpd_unet_0_1,59.0,0.029967103370149902
lpd_unet_0_1,12.0,6.864809265328973e-05
lpd_unet_0_1,7.0,0.00014922106868854856
lpd_unet_0_1,14.0,0.00047510622772241426
lpd_unet_0_1,27.0,0.0005710803607905714
lpd_unet_0_1,99.3333333333,0.0003789578259801
lpd_unet_0_1,135.666666667,0.0005557826205932
lpd_unet_0_1,180.5,0.1861771221035058
lpd_unet_0_1,188.75,0.0011102347718237
lpd_unet_0_1,221.75,0.0008643504861907
lpd_unet_0_1,228.5,0.0010212316084226
lpd_unet_0_1,239.0,0.0011662021445215
lpd_unet_0_1,251.25,0.001279482890841
lpd_unet_0_1,231.0,0.0013619549020976
lpd_unet_0_1,231.75,0.0017034450456086
lpd_unet_0_1,222.25,0.0019606717881185
lpd_unet_0_1,217.25,0.0015461409712418
lpd_unet_0_1,215.75,0.001059797649328
lpd_unet_0_1,206.5,0.0005925869318502
lpd_unet_0_1,186.75,0.0005203838419926
lpd_unet_0_1,162.25,0.19848168421377835
lpd_unet_0_1,146.75,0.0002609198233067
lpd_unet_0_1,130.75,0.0002276156180995
lpd_unet_0_1,33.0,0.0005334735325949221
lpd_unet_0_1,18.25,5.955590953724815e-05
lpd_unet_0_1,160.0,0.47497474876267676
lpd_unet_0_1,190.0,0.0013163041017916091
