Modality,Sensitivity,Count
lpd_unet_0_1,0.00,471
lpd_unet_0_1,0.10,38
lpd_unet_0_1,0.20,30
lpd_unet_0_1,0.30,29
lpd_unet_0_1,0.40,25
lpd_unet_0_1,0.50,33
lpd_unet_0_1,0.60,15
lpd_unet_0_1,0.70,20
lpd_unet_0_1,0.80,15
lpd_unet_0_1,0.90,10
lpd_unet_0_2,0.00,499
lpd_unet_0_2,0.10,42
lpd_unet_0_2,0.20,28
lpd_unet_0_2,0.30,28
lpd_unet_0_2,0.40,25
lpd_unet_0_2,0.50,18
lpd_unet_0_2,0.60,15
lpd_unet_0_2,0.70,12
lpd_unet_0_2,0.80,10
lpd_unet_0_2,0.90,9
lpd_unet_0_3,0.00,494
lpd_unet_0_3,0.10,30
lpd_unet_0_3,0.20,32
lpd_unet_0_3,0.30,28
lpd_unet_0_3,0.40,23
lpd_unet_0_3,0.50,27
lpd_unet_0_3,0.60,18
lpd_unet_0_3,0.70,7
lpd_unet_0_3,0.80,9
lpd_unet_0_3,0.90,18
lpd_unet_0_4,0.00,471
lpd_unet_0_4,0.10,28
lpd_unet_0_4,0.20,33
lpd_unet_0_4,0.30,40
lpd_unet_0_4,0.40,22
lpd_unet_0_4,0.50,22
lpd_unet_0_4,0.60,22
lpd_unet_0_4,0.70,17
lpd_unet_0_4,0.80,14
lpd_unet_0_4,0.90,17
lpd_unet_0_5,0.00,516
lpd_unet_0_5,0.10,35
lpd_unet_0_5,0.20,38
lpd_unet_0_5,0.30,30
lpd_unet_0_5,0.40,13
lpd_unet_0_5,0.50,18
lpd_unet_0_5,0.60,11
lpd_unet_0_5,0.70,14
lpd_unet_0_5,0.80,2
lpd_unet_0_5,0.90,9
lpd_unet_0_6,0.00,485
lpd_unet_0_6,0.10,33
lpd_unet_0_6,0.20,23
lpd_unet_0_6,0.30,32
lpd_unet_0_6,0.40,33
lpd_unet_0_6,0.50,31
lpd_unet_0_6,0.60,17
lpd_unet_0_6,0.70,14
lpd_unet_0_6,0.80,6
lpd_unet_0_6,0.90,12
lpd_unet_0_7,0.00,477
lpd_unet_0_7,0.10,29
lpd_unet_0_7,0.20,24
lpd_unet_0_7,0.30,30
lpd_unet_0_7,0.40,28
lpd_unet_0_7,0.50,31
lpd_unet_0_7,0.60,22
lpd_unet_0_7,0.70,18
lpd_unet_0_7,0.80,12
lpd_unet_0_7,0.90,15
lpd_unet_0_8,0.00,508
lpd_unet_0_8,0.10,37
lpd_unet_0_8,0.20,14
lpd_unet_0_8,0.30,29
lpd_unet_0_8,0.40,24
lpd_unet_0_8,0.50,26
lpd_unet_0_8,0.60,16
lpd_unet_0_8,0.70,13
lpd_unet_0_8,0.80,9
lpd_unet_0_8,0.90,10
lpd_unet_0_9,0.00,451
lpd_unet_0_9,0.10,42
lpd_unet_0_9,0.20,29
lpd_unet_0_9,0.30,29
lpd_unet_0_9,0.40,32
lpd_unet_0_9,0.50,33
lpd_unet_0_9,0.60,22
lpd_unet_0_9,0.70,21
lpd_unet_0_9,0.80,16
lpd_unet_0_9,0.90,11
lpd_unet_1,0.00,456
lpd_unet_1,0.10,44
lpd_unet_1,0.20,39
lpd_unet_1,0.30,27
lpd_unet_1,0.40,24
lpd_unet_1,0.50,25
lpd_unet_1,0.60,23
lpd_unet_1,0.70,22
lpd_unet_1,0.80,16
lpd_unet_1,0.90,10
lpd_unet_sequential,0.00,489
lpd_unet_sequential,0.10,48
lpd_unet_sequential,0.20,30
lpd_unet_sequential,0.30,18
lpd_unet_sequential,0.40,19
lpd_unet_sequential,0.50,25
lpd_unet_sequential,0.60,15
lpd_unet_sequential,0.70,16
lpd_unet_sequential,0.80,12
lpd_unet_sequential,0.90,14
