Annotation,Modality,Value
small,sequential,0.9992932938171486
small,0.1,0.9995841863725976
small,0.2,0.9996973202572962
small,0.3,0.9995066063818576
small,0.4,0.999440923580098
small,0.5,0.9996970548510196
small,0.6,0.99962952929086
small,0.7,0.999527017000459
small,0.8,0.9996957044814114
small,0.9,0.999477090527342
small,end-to-end,0.9997333075708036
large,sequential,0.9989290422542584
large,0.1,0.9991632412255592
large,0.2,0.9993795122225662
large,0.3,0.9991673744409204
large,0.4,0.9990740607443648
large,0.5,0.9994252275111084
large,0.6,0.9993173749658572
large,0.7,0.9992093797973848
large,0.8,0.9993435862691472
large,0.9,0.9991489000731426
large,end-to-end,0.999504084131823
with,sequential,0.999321497317728
with,0.1,0.9996004648679236
with,0.2,0.9997046354106196
with,0.3,0.9995282350679048
with,0.4,0.9994627739482732
with,0.5,0.9997059114228496
with,0.6,0.9996410608551156
with,0.7,0.9995537776666426
with,0.8,0.9997125528818348
with,0.9,0.9994921227818602
with,end-to-end,0.9997408880112252
without,sequential,0.9993493690758056
without,0.1,0.9995665582993674
without,0.2,0.9996964293303686
without,0.3,0.9994956277715996
without,0.4,0.99937994055251
without,0.5,0.9997145749482496
without,0.6,0.9996194209521332
without,0.7,0.9995124867357053
without,0.8,0.9997336071505306
without,0.9,0.9994777903059944
without,end-to-end,0.9997951464157376
