Modality,TN,Count
lpd_unet_0_1,259756.17,2
lpd_unet_0_1,259993.46,0
lpd_unet_0_1,260230.74,3
lpd_unet_0_1,260468.02,2
lpd_unet_0_1,260705.31,5
lpd_unet_0_1,260942.59,21
lpd_unet_0_1,261179.88,49
lpd_unet_0_1,261417.16,83
lpd_unet_0_1,261654.45,147
lpd_unet_0_1,261891.73,368
lpd_unet_0_2,259756.17,1
lpd_unet_0_2,259993.46,2
lpd_unet_0_2,260230.74,1
lpd_unet_0_2,260468.02,1
lpd_unet_0_2,260705.31,6
lpd_unet_0_2,260942.59,15
lpd_unet_0_2,261179.88,43
lpd_unet_0_2,261417.16,84
lpd_unet_0_2,261654.45,147
lpd_unet_0_2,261891.73,379
lpd_unet_0_3,259756.17,2
lpd_unet_0_3,259993.46,0
lpd_unet_0_3,260230.74,2
lpd_unet_0_3,260468.02,3
lpd_unet_0_3,260705.31,11
lpd_unet_0_3,260942.59,17
lpd_unet_0_3,261179.88,56
lpd_unet_0_3,261417.16,78
lpd_unet_0_3,261654.45,168
lpd_unet_0_3,261891.73,344
lpd_unet_0_4,259756.17,2
lpd_unet_0_4,259993.46,0
lpd_unet_0_4,260230.74,1
lpd_unet_0_4,260468.02,6
lpd_unet_0_4,260705.31,10
lpd_unet_0_4,260942.59,25
lpd_unet_0_4,261179.88,53
lpd_unet_0_4,261417.16,98
lpd_unet_0_4,261654.45,148
lpd_unet_0_4,261891.73,334
lpd_unet_0_5,259756.17,0
lpd_unet_0_5,259993.46,2
lpd_unet_0_5,260230.74,2
lpd_unet_0_5,260468.02,1
lpd_unet_0_5,260705.31,6
lpd_unet_0_5,260942.59,13
lpd_unet_0_5,261179.88,36
lpd_unet_0_5,261417.16,82
lpd_unet_0_5,261654.45,159
lpd_unet_0_5,261891.73,377
lpd_unet_0_6,259756.17,0
lpd_unet_0_6,259993.46,1
lpd_unet_0_6,260230.74,3
lpd_unet_0_6,260468.02,3
lpd_unet_0_6,260705.31,12
lpd_unet_0_6,260942.59,9
lpd_unet_0_6,261179.88,50
lpd_unet_0_6,261417.16,74
lpd_unet_0_6,261654.45,162
lpd_unet_0_6,261891.73,364
lpd_unet_0_7,259756.17,1
lpd_unet_0_7,259993.46,2
lpd_unet_0_7,260230.74,0
lpd_unet_0_7,260468.02,4
lpd_unet_0_7,260705.31,13
lpd_unet_0_7,260942.59,20
lpd_unet_0_7,261179.88,45
lpd_unet_0_7,261417.16,92
lpd_unet_0_7,261654.45,152
lpd_unet_0_7,261891.73,350
lpd_unet_0_8,259756.17,0
lpd_unet_0_8,259993.46,2
lpd_unet_0_8,260230.74,1
lpd_unet_0_8,260468.02,1
lpd_unet_0_8,260705.31,6
lpd_unet_0_8,260942.59,17
lpd_unet_0_8,261179.88,41
lpd_unet_0_8,261417.16,84
lpd_unet_0_8,261654.45,147
lpd_unet_0_8,261891.73,379
lpd_unet_0_9,259756.17,0
lpd_unet_0_9,259993.46,2
lpd_unet_0_9,260230.74,3
lpd_unet_0_9,260468.02,4
lpd_unet_0_9,260705.31,15
lpd_unet_0_9,260942.59,24
lpd_unet_0_9,261179.88,47
lpd_unet_0_9,261417.16,100
lpd_unet_0_9,261654.45,165
lpd_unet_0_9,261891.73,323
lpd_unet_1,259756.17,0
lpd_unet_1,259993.46,0
lpd_unet_1,260230.74,0
lpd_unet_1,260468.02,0
lpd_unet_1,260705.31,9
lpd_unet_1,260942.59,20
lpd_unet_1,261179.88,47
lpd_unet_1,261417.16,80
lpd_unet_1,261654.45,142
lpd_unet_1,261891.73,381
lpd_unet_sequential,259756.17,2
lpd_unet_sequential,259993.46,3
lpd_unet_sequential,260230.74,2
lpd_unet_sequential,260468.02,4
lpd_unet_sequential,260705.31,10
lpd_unet_sequential,260942.59,28
lpd_unet_sequential,261179.88,51
lpd_unet_sequential,261417.16,124
lpd_unet_sequential,261654.45,210
lpd_unet_sequential,261891.73,251
