Annotation,Modality,Value
small,sequential,0.0
small,0.1,75.66590487561189
small,0.2,106.5283789326786
small,0.3,55.58020891438355
small,0.4,37.40181714799837
small,0.5,106.45517413318157
small,0.6,87.97571468169917
small,0.7,62.190507823077496
small,0.8,105.69466225427459
small,0.9,48.716522199480096
small,end-to-end,114.55203799132141
large,sequential,0.0
large,0.1,57.97257768048439
large,0.2,116.19503482730943
large,0.3,65.83752410506713
large,0.4,34.45504369115224
large,0.5,136.67404641612666
large,0.6,91.86632260528859
large,0.7,69.6764401884866
large,0.8,125.83568700338947
large,0.9,58.315547095553484
large,end-to-end,149.57784014142817
with,sequential,0.0
with,0.1,72.43016224558232
with,0.2,101.17516989493743
with,0.3,54.11346252789372
with,0.4,36.339093189977575
with,0.5,102.26852980806143
with,0.6,83.0110646103567
with,0.7,61.95016195307835
with,0.8,104.9750293897232
with,0.9,45.642700012977
with,end-to-end,109.73759677936323
without,sequential,0.0
without,0.1,56.93620760200429
without,0.2,90.98116339894477
without,0.3,38.34184345440008
without,0.4,8.015101208526175
without,0.5,95.73789849542663
without,0.6,70.79366989558912
without,0.7,42.76140903978376
without,0.8,100.72676768532256
without,0.9,33.66560684723663
without,end-to-end,116.85886880621547
