Modality,TP,Count
lpd_unet_0_1,0.00,523
lpd_unet_0_1,65.92,57
lpd_unet_0_1,131.84,45
lpd_unet_0_1,197.76,23
lpd_unet_0_1,263.68,15
lpd_unet_0_1,329.61,6
lpd_unet_0_1,395.53,4
lpd_unet_0_1,461.45,6
lpd_unet_0_1,527.37,3
lpd_unet_0_1,593.29,4
lpd_unet_0_2,0.00,557
lpd_unet_0_2,65.92,55
lpd_unet_0_2,131.84,30
lpd_unet_0_2,197.76,15
lpd_unet_0_2,263.68,8
lpd_unet_0_2,329.61,4
lpd_unet_0_2,395.53,16
lpd_unet_0_2,461.45,1
lpd_unet_0_2,527.37,0
lpd_unet_0_2,593.29,0
lpd_unet_0_3,0.00,550
lpd_unet_0_3,65.92,55
lpd_unet_0_3,131.84,32
lpd_unet_0_3,197.76,19
lpd_unet_0_3,263.68,10
lpd_unet_0_3,329.61,12
lpd_unet_0_3,395.53,6
lpd_unet_0_3,461.45,1
lpd_unet_0_3,527.37,0
lpd_unet_0_3,593.29,0
lpd_unet_0_4,0.00,526
lpd_unet_0_4,65.92,61
lpd_unet_0_4,131.84,38
lpd_unet_0_4,197.76,26
lpd_unet_0_4,263.68,12
lpd_unet_0_4,329.61,7
lpd_unet_0_4,395.53,6
lpd_unet_0_4,461.45,6
lpd_unet_0_4,527.37,2
lpd_unet_0_4,593.29,2
lpd_unet_0_5,0.00,580
lpd_unet_0_5,65.92,49
lpd_unet_0_5,131.84,22
lpd_unet_0_5,197.76,15
lpd_unet_0_5,263.68,8
lpd_unet_0_5,329.61,6
lpd_unet_0_5,395.53,6
lpd_unet_0_5,461.45,0
lpd_unet_0_5,527.37,0
lpd_unet_0_5,593.29,0
lpd_unet_0_6,0.00,544
lpd_unet_0_6,65.92,54
lpd_unet_0_6,131.84,29
lpd_unet_0_6,197.76,24
lpd_unet_0_6,263.68,13
lpd_unet_0_6,329.61,10
lpd_unet_0_6,395.53,10
lpd_unet_0_6,461.45,1
lpd_unet_0_6,527.37,0
lpd_unet_0_6,593.29,0
lpd_unet_0_7,0.00,535
lpd_unet_0_7,65.92,57
lpd_unet_0_7,131.84,37
lpd_unet_0_7,197.76,23
lpd_unet_0_7,263.68,13
lpd_unet_0_7,329.61,10
lpd_unet_0_7,395.53,4
lpd_unet_0_7,461.45,4
lpd_unet_0_7,527.37,3
lpd_unet_0_7,593.29,0
lpd_unet_0_8,0.00,563
lpd_unet_0_8,65.92,60
lpd_unet_0_8,131.84,25
lpd_unet_0_8,197.76,10
lpd_unet_0_8,263.68,10
lpd_unet_0_8,329.61,9
lpd_unet_0_8,395.53,7
lpd_unet_0_8,461.45,2
lpd_unet_0_8,527.37,0
lpd_unet_0_8,593.29,0
lpd_unet_0_9,0.00,532
lpd_unet_0_9,65.92,50
lpd_unet_0_9,131.84,45
lpd_unet_0_9,197.76,23
lpd_unet_0_9,263.68,14
lpd_unet_0_9,329.61,8
lpd_unet_0_9,395.53,5
lpd_unet_0_9,461.45,2
lpd_unet_0_9,527.37,6
lpd_unet_0_9,593.29,0
lpd_unet_1,0.00,540
lpd_unet_1,65.92,61
lpd_unet_1,131.84,31
lpd_unet_1,197.76,23
lpd_unet_1,263.68,14
lpd_unet_1,329.61,10
lpd_unet_1,395.53,3
lpd_unet_1,461.45,4
lpd_unet_1,527.37,0
lpd_unet_1,593.29,0
lpd_unet_sequential,0.00,552
lpd_unet_sequential,65.92,63
lpd_unet_sequential,131.84,37
lpd_unet_sequential,197.76,11
lpd_unet_sequential,263.68,8
lpd_unet_sequential,329.61,1
lpd_unet_sequential,395.53,7
lpd_unet_sequential,461.45,3
lpd_unet_sequential,527.37,0
lpd_unet_sequential,593.29,1
