Annotation,Modality,Value
large,sequential,0.0
large,0.1,15.342523742124087
large,0.2,-8.093009495555393
large,0.3,-13.715162335312712
large,0.4,9.84712723267998
large,0.5,-26.361218412956333
large,0.6,-5.242099963281035
large,0.7,-3.101006816270271
large,0.8,-32.17913574081007
large,0.9,6.989508408430908
large,end-to-end,-9.000339966476517
small,sequential,0.0
small,0.1,-1.003239693853736
small,0.2,-2.6817331500547787
small,0.3,-1.3995008394096136
small,0.4,-0.21208531975197076
small,0.5,-3.834593965754518
small,0.6,-1.702199119825611
small,0.7,0.038109077742820574
small,0.8,-2.320395798886791
small,0.9,0.7243862975037363
small,end-to-end,0.3341096306818159
