Modality,BCE_loss,Count
lpd_unet_0_1,0.00,602
lpd_unet_0_1,0.02,35
lpd_unet_0_1,0.04,27
lpd_unet_0_1,0.06,5
lpd_unet_0_1,0.08,3
lpd_unet_0_1,0.10,4
lpd_unet_0_1,0.12,2
lpd_unet_0_1,0.14,5
lpd_unet_0_1,0.16,2
lpd_unet_0_1,0.18,1
lpd_unet_0_2,0.00,588
lpd_unet_0_2,0.02,47
lpd_unet_0_2,0.04,20
lpd_unet_0_2,0.06,7
lpd_unet_0_2,0.08,5
lpd_unet_0_2,0.10,4
lpd_unet_0_2,0.12,3
lpd_unet_0_2,0.14,4
lpd_unet_0_2,0.16,4
lpd_unet_0_2,0.18,1
lpd_unet_0_3,0.00,596
lpd_unet_0_3,0.02,42
lpd_unet_0_3,0.04,18
lpd_unet_0_3,0.06,3
lpd_unet_0_3,0.08,5
lpd_unet_0_3,0.10,2
lpd_unet_0_3,0.12,2
lpd_unet_0_3,0.14,3
lpd_unet_0_3,0.16,1
lpd_unet_0_3,0.18,5
lpd_unet_0_4,0.00,604
lpd_unet_0_4,0.02,35
lpd_unet_0_4,0.04,14
lpd_unet_0_4,0.06,4
lpd_unet_0_4,0.08,2
lpd_unet_0_4,0.10,4
lpd_unet_0_4,0.12,2
lpd_unet_0_4,0.14,4
lpd_unet_0_4,0.16,4
lpd_unet_0_4,0.18,3
lpd_unet_0_5,0.00,607
lpd_unet_0_5,0.02,41
lpd_unet_0_5,0.04,7
lpd_unet_0_5,0.06,5
lpd_unet_0_5,0.08,4
lpd_unet_0_5,0.10,4
lpd_unet_0_5,0.12,3
lpd_unet_0_5,0.14,4
lpd_unet_0_5,0.16,3
lpd_unet_0_5,0.18,0
lpd_unet_0_6,0.00,619
lpd_unet_0_6,0.02,27
lpd_unet_0_6,0.04,10
lpd_unet_0_6,0.06,5
lpd_unet_0_6,0.08,3
lpd_unet_0_6,0.10,2
lpd_unet_0_6,0.12,3
lpd_unet_0_6,0.14,4
lpd_unet_0_6,0.16,4
lpd_unet_0_6,0.18,2
lpd_unet_0_7,0.00,595
lpd_unet_0_7,0.02,46
lpd_unet_0_7,0.04,15
lpd_unet_0_7,0.06,4
lpd_unet_0_7,0.08,2
lpd_unet_0_7,0.10,4
lpd_unet_0_7,0.12,0
lpd_unet_0_7,0.14,6
lpd_unet_0_7,0.16,3
lpd_unet_0_7,0.18,7
lpd_unet_0_8,0.00,625
lpd_unet_0_8,0.02,24
lpd_unet_0_8,0.04,4
lpd_unet_0_8,0.06,7
lpd_unet_0_8,0.08,1
lpd_unet_0_8,0.10,3
lpd_unet_0_8,0.12,3
lpd_unet_0_8,0.14,6
lpd_unet_0_8,0.16,2
lpd_unet_0_8,0.18,0
lpd_unet_0_9,0.00,619
lpd_unet_0_9,0.02,27
lpd_unet_0_9,0.04,8
lpd_unet_0_9,0.06,5
lpd_unet_0_9,0.08,3
lpd_unet_0_9,0.10,2
lpd_unet_0_9,0.12,0
lpd_unet_0_9,0.14,5
lpd_unet_0_9,0.16,7
lpd_unet_0_9,0.18,2
lpd_unet_1,0.00,618
lpd_unet_1,0.02,45
lpd_unet_1,0.04,8
lpd_unet_1,0.06,1
lpd_unet_1,0.08,2
lpd_unet_1,0.10,3
lpd_unet_1,0.12,1
lpd_unet_1,0.14,3
lpd_unet_1,0.16,2
lpd_unet_1,0.18,2
lpd_unet_sequential,0.00,594
lpd_unet_sequential,0.02,43
lpd_unet_sequential,0.04,33
lpd_unet_sequential,0.06,5
lpd_unet_sequential,0.08,0
lpd_unet_sequential,0.10,2
lpd_unet_sequential,0.12,2
lpd_unet_sequential,0.14,6
lpd_unet_sequential,0.16,1
lpd_unet_sequential,0.18,0
