Annotation,Modality,Value
small,sequential,0.0029504488838806
small,0.1,0.0031833653098507
small,0.2,0.0031740696675788
small,0.3,0.0031659583092202
small,0.4,0.0035749411755284
small,0.5,0.0033218367713627
small,0.6,0.0031703838595311
small,0.7,0.003089201816332
small,0.8,0.003239683615076
small,0.9,0.0029087825760889
small,end-to-end,0.0027629020877203
large,sequential,0.0196496890988565
large,0.1,0.0203938606964571
large,0.2,0.022704015832673
large,0.3,0.0275256238790032
large,0.4,0.0298440514644315
large,0.5,0.0255510737352317
large,0.6,0.0246577588619702
large,0.7,0.0250541787043846
large,0.8,0.0261755350087516
large,0.9,0.0251453319747864
large,end-to-end,0.0184872220735807
with,sequential,0.0046951599303217
with,0.1,0.0049666460296191
with,0.2,0.0053667092058469
with,0.3,0.0060810109246814
with,0.4,0.0067955840485982
with,0.5,0.006001168621016
with,0.6,0.0057017787996811
with,0.7,0.0057139020906479
with,0.8,0.0060426074507645
with,0.9,0.0055714594797833
with,end-to-end,0.0044803752166383
without,sequential,0.0006923341055757
without,0.1,0.0008726791694973
without,0.2,0.0005322289021016
without,0.3,0.0006143866878314
without,0.4,0.0007472217020554
without,0.5,0.0008901764670424
without,0.6,0.0008120257179364
without,0.7,0.0003955966750688
without,0.8,0.0009646765554536
without,0.9,0.0004676514605774
without,end-to-end,0.0006939649915115
