Modality,Annotation Size,DICE
0_1,52.75,1.3907618626460883e-05
0_1,71.5,9.421017781566498e-05
0_1,30.25,0.000322076357061837
0_1,30.3333333333,0.000901705277446996
0_1,28.0,0.0007805543752823275
0_1,20.25,0.00020709654135903
0_1,9.33333333333,0.0002659057979399
0_1,26.0,0.0004833172724275885
0_1,21.0,0.0066980601969519335
0_1,24.0,0.008639197655407199
0_1,40.75,8.137432738913917e-05
0_1,38.5,2.4542659629971406e-05
0_1,20.75,7.55423227206481e-05
0_1,19.0,0.0019318177757254283
0_1,6.0,0.0019161882185305974
0_1,16.0,0.01087242847023832
0_1,29.5,2.7078193179763887e-06
0_1,37.5,0.05334608178379168
0_1,17.0,0.0006129092990170145
0_1,13.0,6.19583756845971e-05
0_1,52.0,0.05699715807413063
0_1,40.0,0.0003672113408785353
0_1,80.0,3.659656009764125e-05
0_1,50.0,0.01932736875384238
0_1,19.6666666667,0.02114580626978044
0_1,29.1666666667,1.5348300348109454e-09
0_1,45.25,1.394177686014636e-05
0_1,63.0,0.009916597247043283
0_1,31.3333333333,4.209893601430019e-08
0_1,124.0,1.6839638013907149e-06
0_1,114.0,0.012128634133458402
0_1,127.666666667,0.1286626549456225
0_1,203.0,0.2518160072386879
0_1,240.333333333,0.5159047811915517
0_1,147.0,0.03691416763858345
0_1,50.6666666667,0.000132411444353
0_1,18.0,0.008331691448192605
0_1,56.5,1.7277441606236228e-06
0_1,97.0,0.01035065434394645
0_1,146.5,0.6719805157851814
0_1,107.5,0.5373157318268552
0_1,48.3333333333,0.0003158934283256
0_1,191.0,0.1880773714545356
0_1,208.0,0.5734721464910875
0_1,47.0,0.0001942876791597774
0_1,32.0,0.00019274772504440814
0_1,121.0,0.0035180575670634884
0_1,17.6666666667,5.894379642924632e-07
0_1,23.0,7.026268617123901e-05
0_1,113.75,0.0006380966498997
0_1,148.75,0.0012409871106208
0_1,201.75,0.013224112889011
0_1,239.75,0.0441407622058332
0_1,289.5,0.0170473001096825
0_1,248.0,0.0075049560710882
0_1,104.0,0.000544021524173
0_1,94.0,0.0063264488208385
0_1,77.0,0.0010781543964747393
0_1,211.0,0.00587927188767085
0_1,174.75,0.0937739910870999
0_1,406.5,0.4209927001321791
0_1,471.75,0.5507422836834456
0_1,365.25,0.4707144216090493
0_1,158.75,0.2087538045663071
0_1,153.0,0.030215906720030997
0_1,148.333333333,0.0141339894807329
0_1,145.5,0.0031075116366101
0_1,140.5,0.0018919682708867
0_1,101.0,0.0006126807496236169
0_1,141.0,0.009862996476783799
0_1,172.25,0.1523788199666269
0_1,169.5,0.0790017854815993
0_1,141.75,0.0163905912147371
0_1,85.0,0.00514992476128625
0_1,59.0,0.00730174932833728
0_1,12.0,3.721934467152877e-05
0_1,7.0,4.4771586158274894e-05
0_1,14.0,0.000620575230075565
0_1,27.0,0.0009012567715489413
0_1,99.3333333333,0.0038872635040013
0_1,135.666666667,0.0196353380790169
0_1,180.5,0.21913895235597233
0_1,188.75,0.1287324488421951
0_1,221.75,0.2161733981665573
0_1,228.5,0.2395710319616578
0_1,239.0,0.2830749108562312
0_1,251.25,0.2882496863197871
0_1,231.0,0.3136003865218111
0_1,231.75,0.4066803440105817
0_1,222.25,0.3761531575915387
0_1,217.25,0.3093318861442157
0_1,215.75,0.2850895259366585
0_1,206.5,0.1992543194047518
0_1,186.75,0.1213094695370643
0_1,162.25,0.23262264806836985
0_1,146.75,0.0231450189284663
0_1,130.75,0.0180466438221961
0_1,33.0,0.001168739740040744
0_1,18.25,0.0004128686058623
0_1,160.0,0.2590105632672594
0_1,190.0,0.023657192005444083
0_1,245.0,0.0278261853825811
0_1,181.0,0.007712924761569699
0_1,210.5,0.0931664623709598
0_1,185.0,0.0047412935054776
0_1,135.5,0.0149125437077075
0_1,166.5,0.2975303147336819
0_1,176.75,0.3709049162814145
0_1,136.75,0.1639037919359935
0_1,116.5,0.0290586592923191
0_1,89.25,0.00132097506152745
0_1,52.5,0.00030285675863444997
0_1,40.5,0.00209800105240985
0_1,78.0,0.0002105965553997391
0_1,112.0,0.06245704083437355
0_1,122.0,0.00058231024156195
0_1,134.0,0.000391731394612
0_1,150.0,0.008297660767988333
0_1,180.0,0.0004192801918793
0_1,186.0,0.00025200821963893683
0_1,202.0,0.0004805771613071
0_1,194.0,0.0004519785576224
0_1,214.0,0.0005122057505674
0_1,54.5,0.0001311447395132392
0_1,69.25,0.19016349007773914
0_1,83.25,0.0001598327985812
0_1,69.0,0.020863599056174
0_1,38.0,0.0003588611552238346
0_1,54.0,0.012162338002643401
0_1,95.5,0.2651756007344995
0_1,161.0,0.1744803095833776
0_1,314.5,0.5837224029115611
0_1,351.0,0.666719430228431
0_1,389.75,0.6819904108609263
0_1,247.714285714,5.608233207816517e-08
0_1,240.75,4.407346476394559e-05
0_1,237.555555556,0.0182530571584574
0_1,242.1,0.1393604588000023
0_1,304.181818182,0.4630366103631458
0_1,297.909090909,0.1627743387456425
0_1,355.727272727,0.3150749736665258
0_1,311.636363636,0.3545372987914528
0_1,284.181818182,0.6702808999745139
0_1,219.272727273,0.1219744380472638
0_1,143.363636364,0.2851930946688855
0_1,127.285714286,0.0665766126550508
0_1,67.4285714286,7.389673731572722e-05
0_1,58.5714285714,8.451375451466209e-07
0_1,88.5,4.088052752300268e-08
0_1,35.0,0.00015976846204023533
0_1,10.0,0.0005749801734324206
0_1,51.5,5.768089427358266e-06
0_1,86.0,0.09756847620628033
0_1,83.0,0.18281886462162136
0_1,82.0,0.1567944293818612
0_1,57.0,0.08221468034650221
0_1,15.0,0.004000775116993647
0_1,20.0,6.0359382314714205e-05
0_1,22.0,0.0001582691298659854
0_1,49.3333333333,7.225934947439488e-08
0_1,61.2,1.1290407207435094e-06
0_1,48.0,0.0004556248301279681
0_1,44.3333333333,1.5311085059992288e-07
0_1,130.0,0.2490879838363497
0_1,195.0,0.16745836790875843
0_1,275.0,0.373704607926003
0_1,249.0,0.36218859542311466
0_1,57.25,0.0726842275239154
0_1,179.0,0.6869968711215989
0_1,194.5,0.2799626486445929
0_1,4.0,5.12660970250913e-05
0_1,11.0,4.247015825280607e-05
0_1,31.0,0.0004146992655487942
0_1,55.6666666667,0.0006029090582614
0_1,76.6666666667,0.0016742112486536
0_1,95.3333333333,0.0065223329139079
0_1,94.5,0.0070893851966843
0_1,80.5,0.00253933949222555
0_1,69.5,0.0024842436989914
0_1,53.0,0.00041892550129702955
0_1,41.5,0.0004518438583057854
0_1,24.5,0.0003706429725293448
0_1,49.5,0.00648266513570265
0_1,53.5,0.0001850442108828
0_1,87.0,8.951836710172562e-05
0_1,2.0,3.7009914166337746e-05
0_1,3.0,4.8493654472217006e-05
0_1,9.0,0.00042410171655070844
0_1,92.0,0.00391842175660335
0_1,88.0,0.0029410141322012
0_1,116.0,0.0018522913775109763
0_1,64.0,0.012038119532688024
0_1,37.0,0.00021056020254300788
0_1,25.0,0.009804328433080753
0_1,8.0,1.4184766764806477e-05
0_1,220.25,0.5241368260046511
0_1,434.5,0.6317685675276286
0_1,464.25,0.5475122460232764
0_1,356.5,0.5118330138805305
0_1,132.25,0.0222776068809856
0_1,86.5,0.0001908191479912
0_1,119.0,0.12881901220475234
0_1,112.5,0.0005700784492966
0_1,140.0,5.797023051892719e-05
0_1,29.0,0.0020976516033740073
0_1,51.0,0.016851068152275658
0_1,131.0,0.0
0_1,212.25,0.0
0_1,260.0,0.0
0_1,341.25,0.0
0_1,378.75,0.0
0_1,400.5,0.0
0_1,429.25,0.0
0_1,454.75,0.0
0_1,457.5,0.0
0_1,447.0,0.0
0_1,432.25,0.0
0_1,400.0,0.0
0_1,367.75,0.0
0_1,305.0,4.369094943962947e-06
0_1,213.5,0.0
0_1,109.5,0.0
0_1,5.0,4.762014726006247e-08
0_1,16.5,4.387011542639009e-06
0_1,11.5,0.0008260026932995846
0_1,41.0,0.0300802225350286
0_1,61.3333333333,0.020767572731794776
0_1,72.6666666667,0.0101839595596313
0_1,72.0,0.002319833838168967
0_1,70.3333333333,0.0022756581555964
0_1,30.6666666667,0.00039157857757419253
0_1,33.5,1.259148483753798e-05
0_1,34.5,2.8702487240279553e-05
0_1,36.5,1.6648425529688096e-05
0_1,36.875,0.0058528783680567
0_1,58.25,0.0074296917742696
0_1,21.5,0.0571834987780274
0_1,28.3333333333,5.218767016829426e-05
0_1,73.0,0.3243276008548181
0_1,61.0,0.07139350608286901
0_1,42.0,0.07074129576086821
0_1,43.5,0.006186841986466699
0_1,6.66666666667,5.938330135199032e-05
0_1,40.25,0.0004270108076293134
0_1,37.25,0.0003433147007762
0_1,30.75,3.5692632724156603e-06
0_1,44.6666666667,1.7922974477745434e-05
0_1,87.6666666667,0.01620555736559361
0_1,105.0,0.0040310237986596
0_1,23.5,0.00024613012016272065
0_1,36.1666666667,0.0010703890657878
0_1,36.4,0.0003911661669836
0_1,32.6666666667,3.86112504306157e-05
0_1,70.5,0.0003967963543036
0_1,150.5,0.1471051477401729
0_1,71.25,2.115599298485844e-06
0_1,44.0,0.0021866510796030307
0_1,34.0,0.00011925971630416867
0_1,91.0,1.5455549367641867e-08
0_1,15.3333333333,1.6343977830854166e-05
0_1,29.25,3.655417688755382e-05
0_1,33.25,8.369572512948227e-05
0_1,16.25,3.51126433074653e-05
0_1,58.75,1.8768818984871746e-07
0_1,86.25,4.233649569988066e-06
0_1,146.25,0.0069999364796159
0_1,201.5,0.4124130246017115
0_1,225.0,0.5815943071346547
0_1,247.5,0.5045142463896842
0_1,257.0,0.503403749530568
0_1,265.75,0.5711246436233456
0_1,278.0,0.2546212316416252
0_1,199.25,0.526620201877742
0_1,147.75,0.0421200754738585
0_1,73.6666666667,4.182169915958572e-05
0_1,39.0,0.004805924991413498
0_1,32.3333333333,5.905004084895823e-05
0_1,9.5,2.4635447086964625e-05
0_1,77.25,0.0003435788063324
0_1,93.5,0.0003626453523283
0_1,30.0,0.006460997713816696
0_1,102.0,4.764697033049678e-06
0_1,160.666666667,0.0073869726020574
0_1,307.666666667,0.5479443367289172
0_1,385.666666667,0.5579623427705402
0_1,437.333333333,0.5272242897111311
0_1,514.0,0.229197679959469
0_1,568.333333333,0.3614145166692585
0_1,605.0,0.4418263138406796
0_1,687.666666667,0.3727869099353845
0_1,739.333333333,0.4544943192974435
0_1,736.0,0.4735030475183231
0_1,776.0,0.4885430924101829
0_1,740.333333333,0.4795105153771918
0_1,662.0,0.5277743346271164
0_1,536.333333333,0.6562499240554467
0_1,393.0,0.7168333898560001
0_1,316.333333333,0.6465820737624438
0_1,265.333333333,0.6184275805317729
0_1,143.666666667,0.1759100660892258
0_1,59.5,0.0001466723840857878
0_1,46.6666666667,0.0006993196935738
0_1,26.5,0.00053270786722775
0_1,43.0,0.0005293706363735921
0_1,66.0,0.07414531950832456
0_1,36.0,0.0028634369080090256
0_1,18.3333333333,0.000111016240104
0_1,79.3333333333,0.0039870485834821
0_1,31.6666666667,9.037516530479426e-06
0_1,92.3333333333,0.0034980087920308
0_1,128.0,0.0303598522868734
