Annotation,Modality,Value
small,sequential,58.10366966232298
small,0.1,56.98953565134079
small,0.2,56.15265998509862
small,0.3,56.03660744776604
small,0.4,56.71598145315056
small,0.5,54.18232996928957
small,0.6,55.63491476054953
small,0.7,55.97895747121129
small,0.8,52.106930911191775
small,0.9,53.19025016779093
small,end-to-end,50.9096057352845
large,sequential,318.1913871507674
large,0.1,293.5753395004152
large,0.2,324.9749225776913
large,0.3,314.79390987467247
large,0.4,313.2435629380764
large,0.5,297.51903864198835
large,0.6,309.5278541250792
large,0.7,314.69302852997697
large,0.8,285.699052977582
large,0.9,304.4801754566436
large,end-to-end,279.946275938581
with,sequential,87.53001215631397
with,0.1,84.10652965320843
with,0.2,87.53618202459954
with,0.3,84.9284346853808
with,0.4,85.57528064650373
with,0.5,82.63619426809362
with,0.6,84.40261448856604
with,0.7,85.92750192425976
with,0.8,79.12771140813518
with,0.9,81.48193809273391
with,end-to-end,78.24460605603811
without,sequential,0.0
without,0.1,0.0
without,0.2,0.0
without,0.3,0.0
without,0.4,0.0
without,0.5,0.0
without,0.6,0.0
without,0.7,0.0
without,0.8,0.0
without,0.9,0.0
without,end-to-end,0.0
