Modality,FP,Count
lpd_unet_0_1,0.41,538
lpd_unet_0_1,196.12,92
lpd_unet_0_1,391.83,25
lpd_unet_0_1,587.54,10
lpd_unet_0_1,783.25,6
lpd_unet_0_1,978.96,5
lpd_unet_0_1,1174.68,4
lpd_unet_0_1,1370.39,4
lpd_unet_0_1,1566.10,0
lpd_unet_0_1,1761.81,2
lpd_unet_0_2,0.41,566
lpd_unet_0_2,196.12,37
lpd_unet_0_2,391.83,12
lpd_unet_0_2,587.54,5
lpd_unet_0_2,783.25,7
lpd_unet_0_2,978.96,1
lpd_unet_0_2,1174.68,3
lpd_unet_0_2,1370.39,2
lpd_unet_0_2,1566.10,0
lpd_unet_0_2,1761.81,0
lpd_unet_0_3,0.41,578
lpd_unet_0_3,196.12,45
lpd_unet_0_3,391.83,15
lpd_unet_0_3,587.54,3
lpd_unet_0_3,783.25,6
lpd_unet_0_3,978.96,4
lpd_unet_0_3,1174.68,0
lpd_unet_0_3,1370.39,0
lpd_unet_0_3,1566.10,0
lpd_unet_0_3,1761.81,0
lpd_unet_0_4,0.41,542
lpd_unet_0_4,196.12,58
lpd_unet_0_4,391.83,28
lpd_unet_0_4,587.54,12
lpd_unet_0_4,783.25,7
lpd_unet_0_4,978.96,5
lpd_unet_0_4,1174.68,2
lpd_unet_0_4,1370.39,0
lpd_unet_0_4,1566.10,2
lpd_unet_0_4,1761.81,0
lpd_unet_0_5,0.41,541
lpd_unet_0_5,196.12,79
lpd_unet_0_5,391.83,25
lpd_unet_0_5,587.54,10
lpd_unet_0_5,783.25,7
lpd_unet_0_5,978.96,2
lpd_unet_0_5,1174.68,2
lpd_unet_0_5,1370.39,4
lpd_unet_0_5,1566.10,0
lpd_unet_0_5,1761.81,1
lpd_unet_0_6,0.41,566
lpd_unet_0_6,196.12,52
lpd_unet_0_6,391.83,24
lpd_unet_0_6,587.54,9
lpd_unet_0_6,783.25,5
lpd_unet_0_6,978.96,4
lpd_unet_0_6,1174.68,1
lpd_unet_0_6,1370.39,2
lpd_unet_0_6,1566.10,0
lpd_unet_0_6,1761.81,0
lpd_unet_0_7,0.41,557
lpd_unet_0_7,196.12,48
lpd_unet_0_7,391.83,17
lpd_unet_0_7,587.54,5
lpd_unet_0_7,783.25,2
lpd_unet_0_7,978.96,3
lpd_unet_0_7,1174.68,2
lpd_unet_0_7,1370.39,0
lpd_unet_0_7,1566.10,0
lpd_unet_0_7,1761.81,0
lpd_unet_0_8,0.41,499
lpd_unet_0_8,196.12,96
lpd_unet_0_8,391.83,44
lpd_unet_0_8,587.54,16
lpd_unet_0_8,783.25,5
lpd_unet_0_8,978.96,10
lpd_unet_0_8,1174.68,3
lpd_unet_0_8,1370.39,2
lpd_unet_0_8,1566.10,2
lpd_unet_0_8,1761.81,0
lpd_unet_0_9,0.41,564
lpd_unet_0_9,196.12,48
lpd_unet_0_9,391.83,17
lpd_unet_0_9,587.54,10
lpd_unet_0_9,783.25,3
lpd_unet_0_9,978.96,1
lpd_unet_0_9,1174.68,1
lpd_unet_0_9,1370.39,1
lpd_unet_0_9,1566.10,2
lpd_unet_0_9,1761.81,0
lpd_unet_1,0.41,558
lpd_unet_1,196.12,85
lpd_unet_1,391.83,14
lpd_unet_1,587.54,10
lpd_unet_1,783.25,10
lpd_unet_1,978.96,3
lpd_unet_1,1174.68,1
lpd_unet_1,1370.39,0
lpd_unet_1,1566.10,0
lpd_unet_1,1761.81,2
lpd_unet_sequential,0.41,603
lpd_unet_sequential,196.12,45
lpd_unet_sequential,391.83,14
lpd_unet_sequential,587.54,6
lpd_unet_sequential,783.25,10
lpd_unet_sequential,978.96,4
lpd_unet_sequential,1174.68,1
lpd_unet_sequential,1370.39,3
lpd_unet_sequential,1566.10,0
lpd_unet_sequential,1761.81,0
