Modality,Annotation Size,PSNR_loss
lpd_unet_0_1,52.75,36.2233963013
lpd_unet_0_1,71.5,37.2633628845
lpd_unet_0_1,30.25,36.37847709655
lpd_unet_0_1,30.3333333333,33.31877772013333
lpd_unet_0_1,28.0,33.012282689433334
lpd_unet_0_1,20.25,33.27455043795
lpd_unet_0_1,9.33333333333,32.0397720337
lpd_unet_0_1,26.0,32.966048479075
lpd_unet_0_1,21.0,32.73453400351818
lpd_unet_0_1,24.0,31.93935375214
lpd_unet_0_1,40.75,32.3774337769
lpd_unet_0_1,38.5,31.35784988404
lpd_unet_0_1,20.75,34.3746032715
lpd_unet_0_1,19.0,33.19219621021667
lpd_unet_0_1,6.0,32.37461547852
lpd_unet_0_1,16.0,31.370306587229997
lpd_unet_0_1,29.5,31.59130859375
lpd_unet_0_1,37.5,32.134270985933334
lpd_unet_0_1,17.0,32.162711524980004
lpd_unet_0_1,13.0,31.634260813399994
lpd_unet_0_1,52.0,30.301412582383332
lpd_unet_0_1,40.0,32.132203578962496
lpd_unet_0_1,80.0,32.280331293766665
lpd_unet_0_1,50.0,31.99315102895
lpd_unet_0_1,19.6666666667,32.148516972866666
lpd_unet_0_1,29.1666666667,30.1396789551
lpd_unet_0_1,45.25,30.0434474945
lpd_unet_0_1,63.0,30.932156880699996
lpd_unet_0_1,31.3333333333,30.42050552365
lpd_unet_0_1,124.0,28.9528121948
lpd_unet_0_1,114.0,32.1564318339
lpd_unet_0_1,127.666666667,28.3250789642
lpd_unet_0_1,203.0,27.2138557434
lpd_unet_0_1,240.333333333,26.3056297302
lpd_unet_0_1,147.0,31.713485717799998
lpd_unet_0_1,50.6666666667,29.4567375183
lpd_unet_0_1,18.0,31.015329996749998
lpd_unet_0_1,56.5,32.8515396118
lpd_unet_0_1,97.0,28.03631782535
lpd_unet_0_1,146.5,27.5405387878
lpd_unet_0_1,107.5,32.9550323486
lpd_unet_0_1,48.3333333333,32.9546546936
lpd_unet_0_1,191.0,30.66973940533333
lpd_unet_0_1,208.0,31.5317707062
lpd_unet_0_1,47.0,31.52683753966
lpd_unet_0_1,32.0,29.652573585533332
lpd_unet_0_1,121.0,28.93294811245
lpd_unet_0_1,17.6666666667,33.1018981934
lpd_unet_0_1,23.0,32.55171813964
lpd_unet_0_1,113.75,20.7455444336
lpd_unet_0_1,148.75,20.5333614349
lpd_unet_0_1,201.75,21.7448310852
lpd_unet_0_1,239.75,20.7124633789
lpd_unet_0_1,289.5,22.9404659271
lpd_unet_0_1,248.0,20.8911628723
lpd_unet_0_1,104.0,22.4013690948
lpd_unet_0_1,94.0,29.886404991150002
lpd_unet_0_1,77.0,30.9116744995
lpd_unet_0_1,211.0,29.522760391250003
lpd_unet_0_1,174.75,29.4036026001
lpd_unet_0_1,406.5,29.8187656403
lpd_unet_0_1,471.75,29.8026847839
lpd_unet_0_1,365.25,29.3180923462
lpd_unet_0_1,158.75,29.3967323303
lpd_unet_0_1,153.0,32.54950205486667
lpd_unet_0_1,148.333333333,28.2448978424
lpd_unet_0_1,145.5,28.7895736694
lpd_unet_0_1,140.5,28.3428840637
lpd_unet_0_1,101.0,27.073164939850002
lpd_unet_0_1,141.0,29.3338842392
lpd_unet_0_1,172.25,23.0611228943
lpd_unet_0_1,169.5,25.8168697357
lpd_unet_0_1,141.75,25.8448944092
lpd_unet_0_1,85.0,29.748286724075
lpd_unet_0_1,59.0,31.90145842235
lpd_unet_0_1,12.0,30.35144021776667
lpd_unet_0_1,7.0,32.59948812211428
lpd_unet_0_1,14.0,30.10423660278
lpd_unet_0_1,27.0,29.50302696227143
lpd_unet_0_1,99.3333333333,31.744102478
lpd_unet_0_1,135.666666667,30.9113082886
lpd_unet_0_1,180.5,34.15515232085
lpd_unet_0_1,188.75,31.7453556061
lpd_unet_0_1,221.75,31.7401275635
lpd_unet_0_1,228.5,31.6241111755
lpd_unet_0_1,239.0,34.8600234985
lpd_unet_0_1,251.25,35.6913261414
lpd_unet_0_1,231.0,33.3746032715
lpd_unet_0_1,231.75,31.7407875061
lpd_unet_0_1,222.25,30.9923000336
lpd_unet_0_1,217.25,30.5371704102
lpd_unet_0_1,215.75,30.779750824
lpd_unet_0_1,206.5,30.7702541351
lpd_unet_0_1,186.75,31.1502189636
lpd_unet_0_1,162.25,34.7500553131
lpd_unet_0_1,146.75,32.3012428284
lpd_unet_0_1,130.75,31.5685844421
lpd_unet_0_1,33.0,32.820415019975
lpd_unet_0_1,18.25,29.4448394775
lpd_unet_0_1,160.0,33.856538772566665
lpd_unet_0_1,190.0,32.610366821300005
lpd_unet_0_1,245.0,36.3803520203
lpd_unet_0_1,181.0,34.930831909199995
lpd_unet_0_1,210.5,33.5934524536
lpd_unet_0_1,185.0,37.6106147766
lpd_unet_0_1,135.5,37.5240097046
lpd_unet_0_1,166.5,37.5572814941
lpd_unet_0_1,176.75,37.3657188416
lpd_unet_0_1,136.75,37.3005371094
lpd_unet_0_1,116.5,35.9921188354
lpd_unet_0_1,89.25,32.5753707886
lpd_unet_0_1,52.5,37.56213378905
lpd_unet_0_1,40.5,36.90228843685
lpd_unet_0_1,78.0,32.80053329465
lpd_unet_0_1,112.0,31.09775066375
lpd_unet_0_1,122.0,33.45526885985
lpd_unet_0_1,134.0,36.7771224976
lpd_unet_0_1,150.0,31.973239262866667
lpd_unet_0_1,180.0,34.4100036621
lpd_unet_0_1,186.0,32.1259069443
lpd_unet_0_1,202.0,33.2340240479
lpd_unet_0_1,194.0,31.8596153259
lpd_unet_0_1,214.0,35.6599464417
lpd_unet_0_1,54.5,37.0766143799
lpd_unet_0_1,69.25,33.52756786345
lpd_unet_0_1,83.25,36.8722229004
lpd_unet_0_1,69.0,32.08102416995
lpd_unet_0_1,38.0,28.79821777342
lpd_unet_0_1,54.0,30.1964920044
lpd_unet_0_1,95.5,30.3720283508
lpd_unet_0_1,161.0,29.901030858333332
lpd_unet_0_1,314.5,28.654624939
lpd_unet_0_1,351.0,29.2969703674
lpd_unet_0_1,389.75,29.1866531372
lpd_unet_0_1,247.714285714,29.1540050507
lpd_unet_0_1,240.75,29.0312042236
lpd_unet_0_1,237.555555556,29.3085079193
lpd_unet_0_1,242.1,29.1070537567
lpd_unet_0_1,304.181818182,29.1488723755
lpd_unet_0_1,297.909090909,29.1297073364
lpd_unet_0_1,355.727272727,29.3377761841
