Annotation,Modality,Value
small,sequential,0.0541003448417209
small,0.1,0.0671032136338833
small,0.2,0.0629046862348561
small,0.3,0.0618043298083717
small,0.4,0.0623246011576987
small,0.5,0.0781516003179709
small,0.6,0.0645704233209462
small,0.7,0.0634198284930911
small,0.8,0.0948757450820313
small,0.9,0.0886787213380305
small,end-to-end,0.1088551115998147
large,sequential,0.3113746290470435
large,0.1,0.3835741093866768
large,0.2,0.3334650746820239
large,0.3,0.3273291374439208
large,0.4,0.3398902877931975
large,0.5,0.3876939399560545
large,0.6,0.3637402749395985
large,0.7,0.3441643097081603
large,0.8,0.4067292396093813
large,0.9,0.3653975838692944
large,end-to-end,0.4347122794022782
with,sequential,0.0702585274024879
with,0.1,0.0877769474683963
with,0.2,0.076904469819943
with,0.3,0.0773069145200319
with,0.4,0.0787764536043833
with,0.5,0.0957549382980694
with,0.6,0.0826579607794486
with,0.7,0.0782627493806174
with,0.8,0.1132007283683547
with,0.9,0.1047652607214855
with,end-to-end,0.1260510302092023
without,sequential,
without,0.1,
without,0.2,
without,0.3,
without,0.4,
without,0.5,
without,0.6,
without,0.7,
without,0.8,
without,0.9,
without,end-to-end,
