Modality,Annotation Size,TN
lpd_unet_0_1,52.75,262094.8125
lpd_unet_0_1,71.5,262069.96875
lpd_unet_0_1,30.25,262094.921875
lpd_unet_0_1,30.3333333333,261975.21354166666
lpd_unet_0_1,28.0,262048.50520833334
lpd_unet_0_1,20.25,262107.2890625
lpd_unet_0_1,9.33333333333,262115.828125
lpd_unet_0_1,26.0,262064.033203125
lpd_unet_0_1,21.0,262032.89630681818
lpd_unet_0_1,24.0,261907.0234375
lpd_unet_0_1,40.75,261994.921875
lpd_unet_0_1,38.5,262053.075
lpd_unet_0_1,20.75,261911.828125
lpd_unet_0_1,19.0,262070.82291666666
lpd_unet_0_1,6.0,262008.465625
lpd_unet_0_1,16.0,262046.6375
lpd_unet_0_1,29.5,262111.9296875
lpd_unet_0_1,37.5,262056.65625
lpd_unet_0_1,17.0,261940.8671875
lpd_unet_0_1,13.0,262092.54166666666
lpd_unet_0_1,52.0,261969.49479166666
lpd_unet_0_1,40.0,262015.3359375
lpd_unet_0_1,80.0,261938.66145833334
lpd_unet_0_1,50.0,261983.27604166666
lpd_unet_0_1,19.6666666667,261867.609375
lpd_unet_0_1,29.1666666667,261738.6875
lpd_unet_0_1,45.25,261932.8125
lpd_unet_0_1,63.0,261951.52083333334
lpd_unet_0_1,31.3333333333,261547.9921875
lpd_unet_0_1,124.0,261688.4375
lpd_unet_0_1,114.0,261927.33333333334
lpd_unet_0_1,127.666666667,261743.375
lpd_unet_0_1,203.0,261722.40625
lpd_unet_0_1,240.333333333,261632.421875
lpd_unet_0_1,147.0,261906.296875
lpd_unet_0_1,50.6666666667,261646.046875
lpd_unet_0_1,18.0,261930.51822916666
lpd_unet_0_1,56.5,260937.453125
lpd_unet_0_1,97.0,261712.875
lpd_unet_0_1,146.5,261972.03125
lpd_unet_0_1,107.5,262021.28125
lpd_unet_0_1,48.3333333333,262065.34375
lpd_unet_0_1,191.0,261814.70833333334
lpd_unet_0_1,208.0,261834.296875
lpd_unet_0_1,47.0,262023.35625
lpd_unet_0_1,32.0,262051.3671875
lpd_unet_0_1,121.0,261921.3671875
lpd_unet_0_1,17.6666666667,262052.453125
lpd_unet_0_1,23.0,262038.91875
lpd_unet_0_1,113.75,261943.03125
lpd_unet_0_1,148.75,261922.3125
lpd_unet_0_1,201.75,261810.859375
lpd_unet_0_1,239.75,261849.921875
lpd_unet_0_1,289.5,261886.921875
lpd_unet_0_1,248.0,261722.46875
lpd_unet_0_1,104.0,262059.265625
lpd_unet_0_1,94.0,261943.8828125
