patient_index,Sensitivity,Specificity,DICE,C
LIDC-IDRI-0926,2.842183545961404e-05,0.9997544477929642,1.4884684048642846e-06,0_1
LIDC-IDRI-0928,0.0007938894040643406,0.9997449559286604,2.5539887141378215e-05,0_1
LIDC-IDRI-0929,0.0003709545121872172,0.999770076390817,1.9931910442023044e-06,0_1
LIDC-IDRI-0932,1.0005767614475941e-09,0.9996415977285683,3.320874347020859e-11,0_1
LIDC-IDRI-0933,0.07886337745011149,0.999152879059753,0.006649944249445733,0_1
LIDC-IDRI-0935,0.15215310720507597,0.9993019038733838,0.019735258510755062,0_1
LIDC-IDRI-0936,0.08914631827705777,0.999824245007647,0.008711598348660296,0_1
LIDC-IDRI-0938,0.02450265905419982,0.9997624636873209,0.001130818764729255,0_1
LIDC-IDRI-0939,0.06737189736235827,0.9998668125504679,0.007242330075990006,0_1
LIDC-IDRI-0940,0.05545337174829272,0.9998131610520768,0.003877594182498043,0_1
LIDC-IDRI-0941,7.576078773870194e-05,0.999830762798846,1.5716839854467588e-06,0_1
LIDC-IDRI-0942,0.3921334495579105,0.9983613583314591,0.02792566327542311,0_1
LIDC-IDRI-0943,0.00010658627206233879,0.9997867603576778,1.466817857007546e-06,0_1
LIDC-IDRI-0944,2.7632539453616784e-07,0.9988583063828653,1.8268849834817327e-08,0_1
LIDC-IDRI-0945,0.7264935958709876,0.9997691114374477,0.01071140905459692,0_1
LIDC-IDRI-0946,0.4941994204071402,0.9991192971014285,0.014163082864127301,0_1
LIDC-IDRI-0947,0.0008044027878649472,0.9998427480172789,0.00014396957960409503,0_1
LIDC-IDRI-0949,0.22793778927481842,0.9996290023882983,0.0217521967339547,0_1
LIDC-IDRI-0950,0.0004828066688314227,0.9998677793121891,1.0138979940370928e-05,0_1
LIDC-IDRI-0951,0.0871686125322317,0.9997055195986619,0.0010155679378548376,0_1
LIDC-IDRI-0953,0.0044240321441493076,0.9997668517537575,0.00012286246564335024,0_1
LIDC-IDRI-0955,2.0666785599835715e-05,0.9997964578876677,3.1119883566582024e-07,0_1
LIDC-IDRI-0956,0.020883167542280343,0.9998094329450475,0.000587431146628579,0_1
LIDC-IDRI-0957,7.068604092370747e-07,0.9989878817232617,1.1362748329368664e-08,0_1
LIDC-IDRI-0958,0.2991936195329221,0.9994157541575308,0.00712360032650535,0_1
LIDC-IDRI-0959,0.0001284193547170547,0.9999243261000859,2.6809465512280594e-06,0_1
LIDC-IDRI-0961,0.0015016337206247492,0.9995957143552835,0.0003334049374552704,0_1
LIDC-IDRI-0962,0.025859113373167816,0.9994194091843112,0.0012292870805731514,0_1
LIDC-IDRI-0963,4.1899049754445064e-05,0.9998595491475548,6.471483770992896e-07,0_1
LIDC-IDRI-0965,0.1860162597683508,0.9994510057468341,0.011313135882734988,0_1
LIDC-IDRI-0966,0.010432057304762567,0.9999149791224973,0.00039152846477340486,0_1
LIDC-IDRI-0968,0.24906287150681983,0.9991721777568275,0.02649356546847919,0_1
LIDC-IDRI-0969,0.00046934934356565063,0.9996785098855592,1.2977427250909093e-05,0_1
LIDC-IDRI-0971,3.0084247574851075e-08,0.9998868379038698,1.0198006392130347e-09,0_1
LIDC-IDRI-0972,0.0003147810615305456,0.9997752672483995,4.378092618374008e-05,0_1
LIDC-IDRI-0973,0.004087027858237461,0.999439313747995,0.0007778985179575502,0_1
LIDC-IDRI-0974,0.1591957347775559,0.9993469700264331,0.01297257728932068,0_1
LIDC-IDRI-0976,3.991632900333555e-05,0.9998639346883198,4.151376379324829e-06,0_1
LIDC-IDRI-0977,3.660738567366224e-06,0.9998395021874558,6.988706340118013e-08,0_1
LIDC-IDRI-0978,0.008104987891801684,0.9991103096989231,0.0023900147899965428,0_1
LIDC-IDRI-0980,0.07057111927581146,0.9995972525940504,0.007126052805793991,0_1
LIDC-IDRI-0981,0.0018642891972655512,0.999583113317831,4.4345150510288074e-05,0_1
LIDC-IDRI-0982,0.13872766611369278,0.9998227407918673,0.007591362260106716,0_1
LIDC-IDRI-0983,0.003194996039472284,0.9997245259560501,0.00017108564645910786,0_1
LIDC-IDRI-0984,0.0007879955619715044,0.9997710448198162,2.1424638070554506e-05,0_1
LIDC-IDRI-0985,1.0061181286018427e-07,0.9996031782541087,9.33027494238029e-09,0_1
LIDC-IDRI-0986,0.4261287521832564,0.9990886203086016,0.01377711920959741,0_1
LIDC-IDRI-0987,0.005916236928819475,0.9998839369957506,0.00030367272340672103,0_1
LIDC-IDRI-0989,7.684621711670767e-08,0.9993661819011366,5.773959039936518e-10,0_1
LIDC-IDRI-0990,3.7534672713037954e-05,0.9990022634066251,1.9729948083827016e-06,0_1
LIDC-IDRI-0991,2.4738771693773433e-05,0.9997916281446814,6.004126830620037e-08,0_1
LIDC-IDRI-0993,0.5658785995990858,0.9996588698661477,0.01629779477370427,0_1
LIDC-IDRI-0994,0.0682266456422867,0.9995972744880683,0.013422424601524057,0_1
LIDC-IDRI-0996,4.607343428423856e-07,0.9990925991270394,2.2402596767075183e-08,0_1
LIDC-IDRI-0997,1.1971903128643532e-05,0.9995683118820249,1.0055759008040096e-06,0_1
LIDC-IDRI-0998,0.032055115479314306,0.9987761042306919,0.002391137846464622,0_1
LIDC-IDRI-0999,0.0013257982079734225,0.9998057099962674,5.101310076173281e-05,0_1
LIDC-IDRI-1000,0.12697600164974368,0.9996990847016355,0.020919157877729466,0_1
LIDC-IDRI-1001,4.817993812153172e-06,0.9993199558229073,5.050449033301345e-08,0_1
LIDC-IDRI-1002,0.09053060723492583,0.9990832152039791,0.025536569122022346,0_1
LIDC-IDRI-1003,0.21688292631926184,0.9993516379576028,0.032926950392500764,0_1
LIDC-IDRI-1004,0.15590164606358653,0.999743454145099,0.01752626087648883,0_1
LIDC-IDRI-1005,0.06938706033902976,0.9986108905041223,0.0010852202177534715,0_1
LIDC-IDRI-1006,0.00047840333156431314,0.9993897540196475,1.1158524851562741e-05,0_1
LIDC-IDRI-1007,0.4009600396667946,0.999652003864366,0.036247477949917985,0_1
LIDC-IDRI-1008,0.0001936521611640131,0.9996334294297183,3.6598948164891474e-05,0_1
LIDC-IDRI-1009,3.9294314460983335e-05,0.9988866676719718,4.880848450981486e-06,0_1
LIDC-IDRI-1010,9.271639727166583e-05,0.9996731714771729,1.3833911040132684e-06,0_1
LIDC-IDRI-1011,0.31254347871644805,0.9994435709109093,0.05500347178722777,0_1
LIDC-IDRI-0926,2.0785363516000896e-05,0.9998503736855368,1.0956262125802836e-06,0_2
LIDC-IDRI-0928,0.00040589502852254167,0.9998518832979915,1.612622789309993e-05,0_2
LIDC-IDRI-0929,0.00010827966260594316,0.9998463620671182,2.464350815135464e-06,0_2
LIDC-IDRI-0932,5.834118018073354e-10,0.9998036390661441,2.4100188980535017e-11,0_2
LIDC-IDRI-0933,0.09588309288423134,0.9996504626828796,0.011060167123321361,0_2
LIDC-IDRI-0935,0.1446823877256656,0.999644320983026,0.019573120925212364,0_2
LIDC-IDRI-0936,0.11503153156762633,0.9999199633497903,0.011238235245072305,0_2
LIDC-IDRI-0938,0.08724666424397086,0.9998625227040476,0.004094730180409174,0_2
LIDC-IDRI-0939,0.0017343767873622337,0.9999459001486322,0.00022697134630889567,0_2
LIDC-IDRI-0940,0.07284458993154243,0.9999287977516008,0.005900051397610419,0_2
LIDC-IDRI-0941,6.2445364348714715e-06,0.9999118312792007,1.5136452010325468e-07,0_2
LIDC-IDRI-0942,0.3734032883101772,0.9987675332540014,0.03780880912522906,0_2
LIDC-IDRI-0943,4.1457189193119206e-05,0.9999115861384573,7.590668913173533e-07,0_2
LIDC-IDRI-0944,1.8325877925214578e-07,0.999145616019786,1.2993497722913451e-08,0_2
