Modality,Annotation Size,BCE_loss
unet_shuffle_inception_no_progressive,52.75,0.00266265543178
unet_shuffle_inception_no_progressive,71.5,0.00264086411335
unet_shuffle_inception_no_progressive,30.25,0.0008900863467705
unet_shuffle_inception_no_progressive,30.3333333333,0.0010924192417090001
unet_shuffle_inception_no_progressive,28.0,0.0012853963514005
unet_shuffle_inception_no_progressive,20.25,0.000581919623073
unet_shuffle_inception_no_progressive,9.33333333333,0.000421595410444
unet_shuffle_inception_no_progressive,26.0,0.0013255591729826124
unet_shuffle_inception_no_progressive,21.0,0.0007616318775536
unet_shuffle_inception_no_progressive,24.0,0.0012509036110715998
unet_shuffle_inception_no_progressive,40.75,0.00205574487336
unet_shuffle_inception_no_progressive,38.5,0.0017638781573618
unet_shuffle_inception_no_progressive,20.75,0.00126268086024
unet_shuffle_inception_no_progressive,19.0,0.0009158239069313334
unet_shuffle_inception_no_progressive,6.0,0.0016349245852318
unet_shuffle_inception_no_progressive,16.0,0.0009639460593461001
unet_shuffle_inception_no_progressive,29.5,0.0007074052409735
unet_shuffle_inception_no_progressive,37.5,0.0016550865160133335
unet_shuffle_inception_no_progressive,17.0,0.0008710299793161002
unet_shuffle_inception_no_progressive,13.0,0.0006899656275181111
unet_shuffle_inception_no_progressive,52.0,0.0019860375274823334
unet_shuffle_inception_no_progressive,40.0,0.0024851281195871254
unet_shuffle_inception_no_progressive,80.0,0.003361584250037333
unet_shuffle_inception_no_progressive,50.0,0.001719494408463
unet_shuffle_inception_no_progressive,19.6666666667,0.0012884275444473333
unet_shuffle_inception_no_progressive,29.1666666667,0.000677412434015
unet_shuffle_inception_no_progressive,45.25,0.002718278905375
unet_shuffle_inception_no_progressive,63.0,0.004155416507273333
unet_shuffle_inception_no_progressive,31.3333333333,0.0014671026438025
unet_shuffle_inception_no_progressive,124.0,0.0102398395538
unet_shuffle_inception_no_progressive,114.0,0.006813563406466667
unet_shuffle_inception_no_progressive,127.666666667,0.00177103164606
unet_shuffle_inception_no_progressive,203.0,0.004060257808306
unet_shuffle_inception_no_progressive,240.333333333,0.000701385200955
unet_shuffle_inception_no_progressive,147.0,0.001552156347315
unet_shuffle_inception_no_progressive,50.6666666667,0.00202913070098
unet_shuffle_inception_no_progressive,18.0,0.0022175340175945002
unet_shuffle_inception_no_progressive,56.5,0.00266272481531
unet_shuffle_inception_no_progressive,97.0,0.0022437341976895
unet_shuffle_inception_no_progressive,146.5,0.000269935204415
unet_shuffle_inception_no_progressive,107.5,0.00102205702569
unet_shuffle_inception_no_progressive,48.3333333333,0.00304091954604
unet_shuffle_inception_no_progressive,191.0,0.011141764300795666
unet_shuffle_inception_no_progressive,208.0,0.000411630375311
unet_shuffle_inception_no_progressive,47.0,0.003147189447189
unet_shuffle_inception_no_progressive,32.0,0.0023269745385426665
unet_shuffle_inception_no_progressive,121.0,0.001858469215225
unet_shuffle_inception_no_progressive,17.6666666667,0.000767417019233
unet_shuffle_inception_no_progressive,23.0,0.000855777614924
unet_shuffle_inception_no_progressive,113.75,0.00784904137254
unet_shuffle_inception_no_progressive,148.75,0.00953366514295
unet_shuffle_inception_no_progressive,201.75,0.0244082324207
