Modality,Annotation Size,DICE
unet_shuffle_inception_no_progressive,52.75,6.15474126271261e-06
unet_shuffle_inception_no_progressive,71.5,0.0010389419711013
unet_shuffle_inception_no_progressive,30.25,0.0007147176166489
unet_shuffle_inception_no_progressive,30.3333333333,0.07536007586069056
unet_shuffle_inception_no_progressive,28.0,0.013502326268700862
unet_shuffle_inception_no_progressive,20.25,0.00662192942060195
unet_shuffle_inception_no_progressive,9.33333333333,6.984956655082409e-06
unet_shuffle_inception_no_progressive,26.0,0.08790357411271335
unet_shuffle_inception_no_progressive,21.0,0.12523078854655437
unet_shuffle_inception_no_progressive,24.0,0.00014045674122875414
unet_shuffle_inception_no_progressive,40.75,5.6562314038873626e-06
unet_shuffle_inception_no_progressive,38.5,0.1380923432126237
unet_shuffle_inception_no_progressive,20.75,3.1419992254363628e-06
unet_shuffle_inception_no_progressive,19.0,0.002419650216960064
unet_shuffle_inception_no_progressive,6.0,0.0019727445698792603
unet_shuffle_inception_no_progressive,16.0,0.0031181615501345936
unet_shuffle_inception_no_progressive,29.5,8.140458252976467e-05
unet_shuffle_inception_no_progressive,37.5,0.14833193264899394
unet_shuffle_inception_no_progressive,17.0,5.261352837321931e-05
unet_shuffle_inception_no_progressive,13.0,0.029666610762873254
unet_shuffle_inception_no_progressive,52.0,0.06657071477023578
unet_shuffle_inception_no_progressive,40.0,0.01340490700379184
unet_shuffle_inception_no_progressive,80.0,0.1383357643019399
unet_shuffle_inception_no_progressive,50.0,0.13111605237884819
unet_shuffle_inception_no_progressive,19.6666666667,4.220816867262874e-05
unet_shuffle_inception_no_progressive,29.1666666667,0.0480923525654203
unet_shuffle_inception_no_progressive,45.25,8.280771592231204e-06
unet_shuffle_inception_no_progressive,63.0,0.0051513132474806074
unet_shuffle_inception_no_progressive,31.3333333333,2.800724021798041e-05
unet_shuffle_inception_no_progressive,124.0,7.730349920682601e-08
unet_shuffle_inception_no_progressive,114.0,0.047888964084477986
unet_shuffle_inception_no_progressive,127.666666667,0.5800858029376417
unet_shuffle_inception_no_progressive,203.0,0.4458281454075199
unet_shuffle_inception_no_progressive,240.333333333,0.8163151655114619
unet_shuffle_inception_no_progressive,147.0,0.22291817583947238
unet_shuffle_inception_no_progressive,50.6666666667,3.645483861945231e-05
unet_shuffle_inception_no_progressive,18.0,0.008644175735091566
unet_shuffle_inception_no_progressive,56.5,1.320612558097898e-07
unet_shuffle_inception_no_progressive,97.0,0.37992175355523883
unet_shuffle_inception_no_progressive,146.5,0.8596319154113528
unet_shuffle_inception_no_progressive,107.5,0.3750961292160634
unet_shuffle_inception_no_progressive,48.3333333333,6.904495225489599e-09
unet_shuffle_inception_no_progressive,191.0,0.3255299557195251
unet_shuffle_inception_no_progressive,208.0,0.8136530109881359
unet_shuffle_inception_no_progressive,47.0,0.008976090470369086
unet_shuffle_inception_no_progressive,32.0,0.00022159759061135087
unet_shuffle_inception_no_progressive,121.0,0.26498332297736976
unet_shuffle_inception_no_progressive,17.6666666667,0.0002237020034743
unet_shuffle_inception_no_progressive,23.0,0.08532408860940681
unet_shuffle_inception_no_progressive,113.75,1.0609747763062032e-09
unet_shuffle_inception_no_progressive,148.75,6.473452045524339e-10
unet_shuffle_inception_no_progressive,201.75,5.794609735218049e-10
unet_shuffle_inception_no_progressive,239.75,1.6107585402458003e-09
unet_shuffle_inception_no_progressive,289.5,8.839175700748133e-10
unet_shuffle_inception_no_progressive,248.0,1.918169189694578e-09
unet_shuffle_inception_no_progressive,104.0,1.2578564407490583e-09
unet_shuffle_inception_no_progressive,94.0,6.518969514357048e-05
unet_shuffle_inception_no_progressive,77.0,0.13873152651009754
unet_shuffle_inception_no_progressive,211.0,0.00012131160591008327
unet_shuffle_inception_no_progressive,174.75,0.0006783584293808
unet_shuffle_inception_no_progressive,406.5,0.0229522507378049
unet_shuffle_inception_no_progressive,471.75,0.0032375282017134
unet_shuffle_inception_no_progressive,365.25,0.0063582551824311
unet_shuffle_inception_no_progressive,158.75,7.490061446548949e-06
unet_shuffle_inception_no_progressive,153.0,4.690262850295744e-06
unet_shuffle_inception_no_progressive,148.333333333,9.412360067226132e-07
unet_shuffle_inception_no_progressive,145.5,4.165004482924458e-07
unet_shuffle_inception_no_progressive,140.5,3.222336111455788e-07
unet_shuffle_inception_no_progressive,101.0,1.9819315088892142e-07
unet_shuffle_inception_no_progressive,141.0,0.0004362734662516089
unet_shuffle_inception_no_progressive,172.25,7.25873881463817e-05
unet_shuffle_inception_no_progressive,169.5,8.638688924378746e-05
unet_shuffle_inception_no_progressive,141.75,5.992491567410436e-06
unet_shuffle_inception_no_progressive,85.0,0.18247831268740372
unet_shuffle_inception_no_progressive,59.0,0.12742191649153725
unet_shuffle_inception_no_progressive,12.0,0.027982129995719855
unet_shuffle_inception_no_progressive,7.0,0.000190953223160378
unet_shuffle_inception_no_progressive,14.0,0.010645580789761352
unet_shuffle_inception_no_progressive,27.0,0.07594200944404551
unet_shuffle_inception_no_progressive,99.3333333333,0.3505934766334484
unet_shuffle_inception_no_progressive,135.666666667,0.6320082179389119
unet_shuffle_inception_no_progressive,180.5,0.3316038763447615
unet_shuffle_inception_no_progressive,188.75,0.7056107312486605
unet_shuffle_inception_no_progressive,221.75,0.6929300280821085
unet_shuffle_inception_no_progressive,228.5,0.5814248652117493
unet_shuffle_inception_no_progressive,239.0,0.600988942616594
unet_shuffle_inception_no_progressive,251.25,0.6058077290395117
unet_shuffle_inception_no_progressive,231.0,0.529677405896211
unet_shuffle_inception_no_progressive,231.75,0.522930574073007
unet_shuffle_inception_no_progressive,222.25,0.4995355236811138
unet_shuffle_inception_no_progressive,217.25,0.5558660413853629
unet_shuffle_inception_no_progressive,215.75,0.5126059678653031
unet_shuffle_inception_no_progressive,206.5,0.4112299908393064
unet_shuffle_inception_no_progressive,186.75,0.4691515459302148
unet_shuffle_inception_no_progressive,162.25,0.25638395083555143
unet_shuffle_inception_no_progressive,146.75,0.3698955522025536
unet_shuffle_inception_no_progressive,130.75,0.2808847633587867
