Modality,Annotation Size,FN
unet_shuffle_inception_no_progressive,52.75,52.999835968
unet_shuffle_inception_no_progressive,71.5,79.9584121704
unet_shuffle_inception_no_progressive,30.25,28.489242553700002
unet_shuffle_inception_no_progressive,30.3333333333,28.447333653766666
unet_shuffle_inception_no_progressive,28.0,27.986351966866668
unet_shuffle_inception_no_progressive,20.25,19.42206001285
unet_shuffle_inception_no_progressive,9.33333333333,3.99984741211
unet_shuffle_inception_no_progressive,26.0,22.558770060553748
unet_shuffle_inception_no_progressive,21.0,17.236783027653637
unet_shuffle_inception_no_progressive,24.0,22.698904991139994
unet_shuffle_inception_no_progressive,40.75,38.9998855591
unet_shuffle_inception_no_progressive,38.5,38.663444900500004
unet_shuffle_inception_no_progressive,20.75,23.9999599457
unet_shuffle_inception_no_progressive,19.0,18.976778348283332
unet_shuffle_inception_no_progressive,6.0,5.496467685702
unet_shuffle_inception_no_progressive,16.0,16.86024618149
unet_shuffle_inception_no_progressive,29.5,14.999261379250001
unet_shuffle_inception_no_progressive,37.5,30.164419174200003
unet_shuffle_inception_no_progressive,17.0,17.199516296389998
unet_shuffle_inception_no_progressive,13.0,11.439892186071113
unet_shuffle_inception_no_progressive,52.0,48.299127578733334
unet_shuffle_inception_no_progressive,40.0,36.347498655299994
unet_shuffle_inception_no_progressive,80.0,76.98952356973334
unet_shuffle_inception_no_progressive,50.0,52.89092699688334
unet_shuffle_inception_no_progressive,19.6666666667,23.665116628000003
unet_shuffle_inception_no_progressive,29.1666666667,38.0366210938
unet_shuffle_inception_no_progressive,45.25,50.99980545045
unet_shuffle_inception_no_progressive,63.0,56.862575531
unet_shuffle_inception_no_progressive,31.3333333333,29.499535560600002
unet_shuffle_inception_no_progressive,124.0,124.0
unet_shuffle_inception_no_progressive,114.0,125.65522257466667
unet_shuffle_inception_no_progressive,127.666666667,85.9783630371
unet_shuffle_inception_no_progressive,203.0,124.0275497435
unet_shuffle_inception_no_progressive,240.333333333,64.5752258301
unet_shuffle_inception_no_progressive,147.0,57.4983177185
unet_shuffle_inception_no_progressive,50.6666666667,44.9991760254
unet_shuffle_inception_no_progressive,18.0,15.180231332778334
unet_shuffle_inception_no_progressive,56.5,40.0
unet_shuffle_inception_no_progressive,97.0,67.0960979462
unet_shuffle_inception_no_progressive,146.5,33.2040138245
unet_shuffle_inception_no_progressive,107.5,69.6734542847
unet_shuffle_inception_no_progressive,48.3333333333,40.0
unet_shuffle_inception_no_progressive,191.0,185.52612241116665
unet_shuffle_inception_no_progressive,208.0,53.8672523499
unet_shuffle_inception_no_progressive,47.0,44.76230773924
unet_shuffle_inception_no_progressive,32.0,33.16428693135
unet_shuffle_inception_no_progressive,121.0,105.1697006226
unet_shuffle_inception_no_progressive,17.6666666667,20.9967193604
unet_shuffle_inception_no_progressive,23.0,22.316533470160003
unet_shuffle_inception_no_progressive,113.75,95.0
unet_shuffle_inception_no_progressive,148.75,112.0
unet_shuffle_inception_no_progressive,201.75,279.0
unet_shuffle_inception_no_progressive,239.75,257.0
unet_shuffle_inception_no_progressive,289.5,281.0
unet_shuffle_inception_no_progressive,248.0,212.0
unet_shuffle_inception_no_progressive,104.0,120.0
unet_shuffle_inception_no_progressive,94.0,85.4973983765
unet_shuffle_inception_no_progressive,77.0,67.38886566160001
unet_shuffle_inception_no_progressive,211.0,236.4858703615
unet_shuffle_inception_no_progressive,174.75,119.95904541
unet_shuffle_inception_no_progressive,406.5,317.270782471
unet_shuffle_inception_no_progressive,471.75,363.40927124
unet_shuffle_inception_no_progressive,365.25,426.631225586
unet_shuffle_inception_no_progressive,158.75,178.999328613
unet_shuffle_inception_no_progressive,153.0,171.99962870266666
unet_shuffle_inception_no_progressive,148.333333333,137.999938965
unet_shuffle_inception_no_progressive,145.5,127.999969482
unet_shuffle_inception_no_progressive,140.5,103.999984741
unet_shuffle_inception_no_progressive,101.0,94.4999923706
unet_shuffle_inception_no_progressive,141.0,141.4692001345
unet_shuffle_inception_no_progressive,172.25,167.993835449
unet_shuffle_inception_no_progressive,169.5,174.992416382
unet_shuffle_inception_no_progressive,141.75,144.999557495
unet_shuffle_inception_no_progressive,85.0,74.20762729635
unet_shuffle_inception_no_progressive,59.0,45.369148572283336
unet_shuffle_inception_no_progressive,12.0,12.01736937628
unet_shuffle_inception_no_progressive,7.0,7.284949643272858
unet_shuffle_inception_no_progressive,14.0,12.903850555427002
unet_shuffle_inception_no_progressive,27.0,25.10578904832857
unet_shuffle_inception_no_progressive,99.3333333333,56.0662841797
unet_shuffle_inception_no_progressive,135.666666667,42.9996948242
unet_shuffle_inception_no_progressive,180.5,134.72052001975
unet_shuffle_inception_no_progressive,188.75,81.5151062012
unet_shuffle_inception_no_progressive,221.75,65.7824783325
unet_shuffle_inception_no_progressive,228.5,96.8289108276
unet_shuffle_inception_no_progressive,239.0,144.705657959
unet_shuffle_inception_no_progressive,251.25,105.636856079
unet_shuffle_inception_no_progressive,231.0,168.47038269
unet_shuffle_inception_no_progressive,231.75,148.674835205
unet_shuffle_inception_no_progressive,222.25,170.588684082
unet_shuffle_inception_no_progressive,217.25,123.841156006
unet_shuffle_inception_no_progressive,215.75,140.642959595
unet_shuffle_inception_no_progressive,206.5,185.836181641
unet_shuffle_inception_no_progressive,186.75,108.212005615
unet_shuffle_inception_no_progressive,162.25,141.5257377625
unet_shuffle_inception_no_progressive,146.75,110.572387695
unet_shuffle_inception_no_progressive,130.75,130.031936646
unet_shuffle_inception_no_progressive,33.0,29.391111373899996
unet_shuffle_inception_no_progressive,18.25,22.9994335175
unet_shuffle_inception_no_progressive,160.0,147.102851868
unet_shuffle_inception_no_progressive,190.0,187.4253463745
unet_shuffle_inception_no_progressive,245.0,245.0
unet_shuffle_inception_no_progressive,181.0,226.4957580565
unet_shuffle_inception_no_progressive,210.5,256.0
unet_shuffle_inception_no_progressive,185.0,237.0
unet_shuffle_inception_no_progressive,135.5,143.0
unet_shuffle_inception_no_progressive,166.5,213.999938965
unet_shuffle_inception_no_progressive,176.75,188.999847412
unet_shuffle_inception_no_progressive,136.75,147.999954224
unet_shuffle_inception_no_progressive,116.5,64.9999847412
unet_shuffle_inception_no_progressive,89.25,66.96631622315
unet_shuffle_inception_no_progressive,52.5,56.99994659425
unet_shuffle_inception_no_progressive,40.5,45.20178985595
unet_shuffle_inception_no_progressive,78.0,81.0
unet_shuffle_inception_no_progressive,112.0,111.999973297
unet_shuffle_inception_no_progressive,122.0,121.99891281149999
unet_shuffle_inception_no_progressive,134.0,134.0
unet_shuffle_inception_no_progressive,150.0,109.99775568630001
unet_shuffle_inception_no_progressive,180.0,180.0
unet_shuffle_inception_no_progressive,186.0,114.49999809265
unet_shuffle_inception_no_progressive,202.0,202.0
unet_shuffle_inception_no_progressive,194.0,194.0
unet_shuffle_inception_no_progressive,214.0,214.0
unet_shuffle_inception_no_progressive,54.5,58.49981307985
unet_shuffle_inception_no_progressive,69.25,67.540309906
unet_shuffle_inception_no_progressive,83.25,74.9991760254
unet_shuffle_inception_no_progressive,69.0,68.49979400635
unet_shuffle_inception_no_progressive,38.0,44.5866760254
unet_shuffle_inception_no_progressive,54.0,40.7830722809
unet_shuffle_inception_no_progressive,95.5,56.722347497804996
unet_shuffle_inception_no_progressive,161.0,112.8739776612
unet_shuffle_inception_no_progressive,314.5,27.1523628235
unet_shuffle_inception_no_progressive,351.0,18.7385940552
unet_shuffle_inception_no_progressive,389.75,123.221939087
unet_shuffle_inception_no_progressive,247.714285714,1.99994277954
unet_shuffle_inception_no_progressive,240.75,36.6083030701
unet_shuffle_inception_no_progressive,237.555555556,104.004180908
unet_shuffle_inception_no_progressive,242.1,20.9863681793
unet_shuffle_inception_no_progressive,304.181818182,28.6897010803
unet_shuffle_inception_no_progressive,297.909090909,136.999465942
unet_shuffle_inception_no_progressive,355.727272727,54.9319915771
unet_shuffle_inception_no_progressive,311.636363636,182.0
unet_shuffle_inception_no_progressive,284.181818182,84.3920974731
unet_shuffle_inception_no_progressive,219.272727273,134.060012817
unet_shuffle_inception_no_progressive,143.363636364,15.532292366
unet_shuffle_inception_no_progressive,127.285714286,61.7491722107
unet_shuffle_inception_no_progressive,67.4285714286,55.8679466248
unet_shuffle_inception_no_progressive,58.5714285714,13.1951208115
unet_shuffle_inception_no_progressive,88.5,15.9998750687
unet_shuffle_inception_no_progressive,35.0,29.828204790749997
unet_shuffle_inception_no_progressive,10.0,9.857028961181427
unet_shuffle_inception_no_progressive,51.5,71.986946106
unet_shuffle_inception_no_progressive,86.0,66.27487627663334
unet_shuffle_inception_no_progressive,83.0,51.021850585950006
unet_shuffle_inception_no_progressive,82.0,71.8915634155
unet_shuffle_inception_no_progressive,57.0,27.81182670595
unet_shuffle_inception_no_progressive,15.0,13.307167603420767
unet_shuffle_inception_no_progressive,20.0,21.11930921342778
unet_shuffle_inception_no_progressive,22.0,22.614719629299998
unet_shuffle_inception_no_progressive,49.3333333333,40.9999732971
unet_shuffle_inception_no_progressive,61.2,69.0
unet_shuffle_inception_no_progressive,48.0,50.49999809265
unet_shuffle_inception_no_progressive,44.3333333333,48.4999408722
unet_shuffle_inception_no_progressive,130.0,41.6264038086
unet_shuffle_inception_no_progressive,195.0,123.3546409607
unet_shuffle_inception_no_progressive,275.0,15.2034463882
unet_shuffle_inception_no_progressive,249.0,133.8994960785
unet_shuffle_inception_no_progressive,57.25,65.5682983398
unet_shuffle_inception_no_progressive,179.0,138.747360229
