Modality,Annotation Size,PSNR_loss
unet_shuffle_inception_no_progressive,52.75,
unet_shuffle_inception_no_progressive,71.5,
unet_shuffle_inception_no_progressive,30.25,
unet_shuffle_inception_no_progressive,30.3333333333,
unet_shuffle_inception_no_progressive,28.0,
unet_shuffle_inception_no_progressive,20.25,
unet_shuffle_inception_no_progressive,9.33333333333,
unet_shuffle_inception_no_progressive,26.0,
unet_shuffle_inception_no_progressive,21.0,
unet_shuffle_inception_no_progressive,24.0,
unet_shuffle_inception_no_progressive,40.75,
unet_shuffle_inception_no_progressive,38.5,
unet_shuffle_inception_no_progressive,20.75,
unet_shuffle_inception_no_progressive,19.0,
unet_shuffle_inception_no_progressive,6.0,
unet_shuffle_inception_no_progressive,16.0,
unet_shuffle_inception_no_progressive,29.5,
unet_shuffle_inception_no_progressive,37.5,
unet_shuffle_inception_no_progressive,17.0,
unet_shuffle_inception_no_progressive,13.0,
unet_shuffle_inception_no_progressive,52.0,
unet_shuffle_inception_no_progressive,40.0,
unet_shuffle_inception_no_progressive,80.0,
unet_shuffle_inception_no_progressive,50.0,
unet_shuffle_inception_no_progressive,19.6666666667,
unet_shuffle_inception_no_progressive,29.1666666667,
unet_shuffle_inception_no_progressive,45.25,
unet_shuffle_inception_no_progressive,63.0,
unet_shuffle_inception_no_progressive,31.3333333333,
unet_shuffle_inception_no_progressive,124.0,
unet_shuffle_inception_no_progressive,114.0,
unet_shuffle_inception_no_progressive,127.666666667,
unet_shuffle_inception_no_progressive,203.0,
unet_shuffle_inception_no_progressive,240.333333333,
unet_shuffle_inception_no_progressive,147.0,
unet_shuffle_inception_no_progressive,50.6666666667,
unet_shuffle_inception_no_progressive,18.0,
unet_shuffle_inception_no_progressive,56.5,
unet_shuffle_inception_no_progressive,97.0,
unet_shuffle_inception_no_progressive,146.5,
unet_shuffle_inception_no_progressive,107.5,
unet_shuffle_inception_no_progressive,48.3333333333,
unet_shuffle_inception_no_progressive,191.0,
unet_shuffle_inception_no_progressive,208.0,
unet_shuffle_inception_no_progressive,47.0,
unet_shuffle_inception_no_progressive,32.0,
unet_shuffle_inception_no_progressive,121.0,
unet_shuffle_inception_no_progressive,17.6666666667,
unet_shuffle_inception_no_progressive,23.0,
unet_shuffle_inception_no_progressive,113.75,
unet_shuffle_inception_no_progressive,148.75,
unet_shuffle_inception_no_progressive,201.75,
unet_shuffle_inception_no_progressive,239.75,
unet_shuffle_inception_no_progressive,289.5,
unet_shuffle_inception_no_progressive,248.0,
unet_shuffle_inception_no_progressive,104.0,
unet_shuffle_inception_no_progressive,94.0,
unet_shuffle_inception_no_progressive,77.0,
unet_shuffle_inception_no_progressive,211.0,
unet_shuffle_inception_no_progressive,174.75,
unet_shuffle_inception_no_progressive,406.5,
unet_shuffle_inception_no_progressive,471.75,
unet_shuffle_inception_no_progressive,365.25,
unet_shuffle_inception_no_progressive,158.75,
unet_shuffle_inception_no_progressive,153.0,
unet_shuffle_inception_no_progressive,148.333333333,
unet_shuffle_inception_no_progressive,145.5,
unet_shuffle_inception_no_progressive,140.5,
unet_shuffle_inception_no_progressive,101.0,
unet_shuffle_inception_no_progressive,141.0,
unet_shuffle_inception_no_progressive,172.25,
unet_shuffle_inception_no_progressive,169.5,
unet_shuffle_inception_no_progressive,141.75,
unet_shuffle_inception_no_progressive,85.0,
unet_shuffle_inception_no_progressive,59.0,
unet_shuffle_inception_no_progressive,12.0,
unet_shuffle_inception_no_progressive,7.0,
unet_shuffle_inception_no_progressive,14.0,
unet_shuffle_inception_no_progressive,27.0,
unet_shuffle_inception_no_progressive,99.3333333333,
unet_shuffle_inception_no_progressive,135.666666667,
unet_shuffle_inception_no_progressive,180.5,
unet_shuffle_inception_no_progressive,188.75,
unet_shuffle_inception_no_progressive,221.75,
unet_shuffle_inception_no_progressive,228.5,
unet_shuffle_inception_no_progressive,239.0,
unet_shuffle_inception_no_progressive,251.25,
unet_shuffle_inception_no_progressive,231.0,
unet_shuffle_inception_no_progressive,231.75,
unet_shuffle_inception_no_progressive,222.25,
