Modality,Annotation Size,Sensitivity
unet_shuffle_inception_no_progressive,52.75,3.0824924293612613e-06
unet_shuffle_inception_no_progressive,71.5,0.0005198107759606
unet_shuffle_inception_no_progressive,30.25,0.00036609553288535
unet_shuffle_inception_no_progressive,30.3333333333,0.07775148254894398
unet_shuffle_inception_no_progressive,28.0,0.01320275939390562
unet_shuffle_inception_no_progressive,20.25,0.00364404368015815
unet_shuffle_inception_no_progressive,9.33333333333,3.8162040589449016e-05
unet_shuffle_inception_no_progressive,26.0,0.07359160474962548
unet_shuffle_inception_no_progressive,21.0,0.11076724369212702
unet_shuffle_inception_no_progressive,24.0,7.527672157723381e-05
unet_shuffle_inception_no_progressive,40.75,2.861958770016628e-06
unet_shuffle_inception_no_progressive,38.5,0.09572266104694654
unet_shuffle_inception_no_progressive,20.75,1.684588646028508e-06
unet_shuffle_inception_no_progressive,19.0,0.0012221956259736717
unet_shuffle_inception_no_progressive,6.0,0.08392205448790617
unet_shuffle_inception_no_progressive,16.0,0.0015937129854574743
unet_shuffle_inception_no_progressive,29.5,4.922214350309233e-05
unet_shuffle_inception_no_progressive,37.5,0.09834901660981343
unet_shuffle_inception_no_progressive,17.0,2.7083820992807756e-05
unet_shuffle_inception_no_progressive,13.0,0.051713481219733126
unet_shuffle_inception_no_progressive,52.0,0.04200397122662366
unet_shuffle_inception_no_progressive,40.0,0.011833247184294142
unet_shuffle_inception_no_progressive,80.0,0.08742574667664028
unet_shuffle_inception_no_progressive,50.0,0.08017696707382342
unet_shuffle_inception_no_progressive,19.6666666667,5.387101723756561e-05
unet_shuffle_inception_no_progressive,29.1666666667,0.0247020128031348
unet_shuffle_inception_no_progressive,45.25,4.146638908575194e-06
unet_shuffle_inception_no_progressive,63.0,0.0026422960628472787
unet_shuffle_inception_no_progressive,31.3333333333,1.751089317389599e-05
unet_shuffle_inception_no_progressive,124.0,3.8670561686361794e-08
unet_shuffle_inception_no_progressive,114.0,0.025861806375567748
unet_shuffle_inception_no_progressive,127.666666667,0.411107117872258
unet_shuffle_inception_no_progressive,203.0,0.3829407772520145
unet_shuffle_inception_no_progressive,240.333333333,0.7240374784573311
unet_shuffle_inception_no_progressive,147.0,0.1446420914369715
unet_shuffle_inception_no_progressive,50.6666666667,1.832445049014874e-05
unet_shuffle_inception_no_progressive,18.0,0.15665378032510965
unet_shuffle_inception_no_progressive,56.5,6.768168074218979e-08
unet_shuffle_inception_no_progressive,97.0,0.3082876279539292
unet_shuffle_inception_no_progressive,146.5,0.7898480086954128
unet_shuffle_inception_no_progressive,107.5,0.3300629395701923
unet_shuffle_inception_no_progressive,48.3333333333,5.0754429734648795e-09
unet_shuffle_inception_no_progressive,191.0,0.30186124988415447
unet_shuffle_inception_no_progressive,208.0,0.7410228299907308
unet_shuffle_inception_no_progressive,47.0,0.005057411762073593
unet_shuffle_inception_no_progressive,32.0,0.00011206011316449464
unet_shuffle_inception_no_progressive,121.0,0.17614731609082557
unet_shuffle_inception_no_progressive,17.6666666667,0.0001562778926342
unet_shuffle_inception_no_progressive,23.0,0.06884461174907766
unet_shuffle_inception_no_progressive,113.75,5.361459671009684e-10
unet_shuffle_inception_no_progressive,148.75,3.29574589732452e-10
unet_shuffle_inception_no_progressive,201.75,2.899453929793725e-10
unet_shuffle_inception_no_progressive,239.75,8.05692204047358e-10
unet_shuffle_inception_no_progressive,289.5,4.420745554949616e-10
unet_shuffle_inception_no_progressive,248.0,9.617888363249623e-10
unet_shuffle_inception_no_progressive,104.0,6.299265697681924e-10
unet_shuffle_inception_no_progressive,94.0,3.36694706258938e-05
unet_shuffle_inception_no_progressive,77.0,0.10895822652476003
unet_shuffle_inception_no_progressive,211.0,6.674823438070013e-05
unet_shuffle_inception_no_progressive,174.75,0.0003412288816267
unet_shuffle_inception_no_progressive,406.5,0.011617457512978
unet_shuffle_inception_no_progressive,471.75,0.001622879573315
unet_shuffle_inception_no_progressive,365.25,0.0031980935493672
unet_shuffle_inception_no_progressive,158.75,3.747104527360044e-06
unet_shuffle_inception_no_progressive,153.0,2.346423601228797e-06
unet_shuffle_inception_no_progressive,148.333333333,4.729169842914621e-07
unet_shuffle_inception_no_progressive,145.5,2.1476669129362789e-07
unet_shuffle_inception_no_progressive,140.5,1.6344011299918177e-07
unet_shuffle_inception_no_progressive,101.0,1.081636589440934e-07
unet_shuffle_inception_no_progressive,141.0,0.0002184275125771119
unet_shuffle_inception_no_progressive,172.25,3.6746159021996285e-05
unet_shuffle_inception_no_progressive,169.5,4.335345354112065e-05
unet_shuffle_inception_no_progressive,141.75,3.0312519178715152e-06
unet_shuffle_inception_no_progressive,85.0,0.27906985704010545
unet_shuffle_inception_no_progressive,59.0,0.12368676601747712
unet_shuffle_inception_no_progressive,12.0,0.02629163960338894
unet_shuffle_inception_no_progressive,7.0,0.00010920260807484326
unet_shuffle_inception_no_progressive,14.0,0.006868128838587738
unet_shuffle_inception_no_progressive,27.0,0.07015597518242818
unet_shuffle_inception_no_progressive,99.3333333333,0.2524495442706667
unet_shuffle_inception_no_progressive,135.666666667,0.5326120127804348
unet_shuffle_inception_no_progressive,180.5,0.25302554716792197
unet_shuffle_inception_no_progressive,188.75,0.5640903411705197
unet_shuffle_inception_no_progressive,221.75,0.5964265321872603
unet_shuffle_inception_no_progressive,228.5,0.4708802907610159
unet_shuffle_inception_no_progressive,239.0,0.4325268315333333
unet_shuffle_inception_no_progressive,251.25,0.4664805042955202
unet_shuffle_inception_no_progressive,231.0,0.3618545925798415
unet_shuffle_inception_no_progressive,231.75,0.3619105785190394
unet_shuffle_inception_no_progressive,222.25,0.3362307618275407
unet_shuffle_inception_no_progressive,217.25,0.3958967999710264
unet_shuffle_inception_no_progressive,215.75,0.3488752100596611
unet_shuffle_inception_no_progressive,206.5,0.2625548124326614
unet_shuffle_inception_no_progressive,186.75,0.3236749649054046
unet_shuffle_inception_no_progressive,162.25,0.17464509109646295
unet_shuffle_inception_no_progressive,146.75,0.2374317889365674
unet_shuffle_inception_no_progressive,130.75,0.1664619445795946
unet_shuffle_inception_no_progressive,33.0,0.0028351082154983577
unet_shuffle_inception_no_progressive,18.25,2.4642797531676305e-05
unet_shuffle_inception_no_progressive,160.0,0.0035241339586654236
unet_shuffle_inception_no_progressive,190.0,0.013550799536299014
unet_shuffle_inception_no_progressive,245.0,9.789863981832032e-09
unet_shuffle_inception_no_progressive,181.0,2.0195418753688387e-05
unet_shuffle_inception_no_progressive,210.5,6.320458326732263e-09
unet_shuffle_inception_no_progressive,185.0,1.4292261961807194e-08
unet_shuffle_inception_no_progressive,135.5,3.4010677238098975e-08
unet_shuffle_inception_no_progressive,166.5,3.271201386642686e-07
unet_shuffle_inception_no_progressive,176.75,8.086707166201755e-07
