Modality,Annotation Size,TN
unet_shuffle_inception_no_progressive,52.75,262090.921875
unet_shuffle_inception_no_progressive,71.5,262064.0
unet_shuffle_inception_no_progressive,30.25,262114.953125
unet_shuffle_inception_no_progressive,30.3333333333,262057.42708333334
unet_shuffle_inception_no_progressive,28.0,262109.58854166666
unet_shuffle_inception_no_progressive,20.25,262106.1875
unet_shuffle_inception_no_progressive,9.33333333333,262100.3125
unet_shuffle_inception_no_progressive,26.0,262093.1171875
unet_shuffle_inception_no_progressive,21.0,262121.3565340909
unet_shuffle_inception_no_progressive,24.0,262117.340625
unet_shuffle_inception_no_progressive,40.75,262104.53125
unet_shuffle_inception_no_progressive,38.5,262101.328125
unet_shuffle_inception_no_progressive,20.75,262118.265625
unet_shuffle_inception_no_progressive,19.0,262122.81770833334
unet_shuffle_inception_no_progressive,6.0,262036.8125
unet_shuffle_inception_no_progressive,16.0,262121.303125
unet_shuffle_inception_no_progressive,29.5,262127.375
unet_shuffle_inception_no_progressive,37.5,262088.921875
unet_shuffle_inception_no_progressive,17.0,262124.3671875
unet_shuffle_inception_no_progressive,13.0,262126.15277777778
unet_shuffle_inception_no_progressive,52.0,262093.34375
unet_shuffle_inception_no_progressive,40.0,262098.158203125
unet_shuffle_inception_no_progressive,80.0,262058.50520833334
unet_shuffle_inception_no_progressive,50.0,262086.75260416666
unet_shuffle_inception_no_progressive,19.6666666667,262089.78645833334
unet_shuffle_inception_no_progressive,29.1666666667,262104.90625
unet_shuffle_inception_no_progressive,45.25,262092.90625
unet_shuffle_inception_no_progressive,63.0,261977.4375
unet_shuffle_inception_no_progressive,31.3333333333,262084.84375
unet_shuffle_inception_no_progressive,124.0,262019.953125
unet_shuffle_inception_no_progressive,114.0,262004.375
unet_shuffle_inception_no_progressive,127.666666667,261997.09375
unet_shuffle_inception_no_progressive,203.0,261939.234375
unet_shuffle_inception_no_progressive,240.333333333,261898.328125
unet_shuffle_inception_no_progressive,147.0,262058.5078125
unet_shuffle_inception_no_progressive,50.6666666667,262098.765625
unet_shuffle_inception_no_progressive,18.0,262021.8515625
unet_shuffle_inception_no_progressive,56.5,262103.0
unet_shuffle_inception_no_progressive,97.0,262045.140625
unet_shuffle_inception_no_progressive,146.5,261978.453125
unet_shuffle_inception_no_progressive,107.5,261995.296875
unet_shuffle_inception_no_progressive,48.3333333333,262085.1875
unet_shuffle_inception_no_progressive,191.0,261882.74479166666
unet_shuffle_inception_no_progressive,208.0,261919.28125
unet_shuffle_inception_no_progressive,47.0,262096.18125
unet_shuffle_inception_no_progressive,32.0,262108.13802083334
unet_shuffle_inception_no_progressive,121.0,262006.875
unet_shuffle_inception_no_progressive,17.6666666667,262114.65625
unet_shuffle_inception_no_progressive,23.0,262118.7703125
unet_shuffle_inception_no_progressive,113.75,262047.984375
unet_shuffle_inception_no_progressive,148.75,262029.953125
unet_shuffle_inception_no_progressive,201.75,261864.796875
unet_shuffle_inception_no_progressive,239.75,261886.90625
unet_shuffle_inception_no_progressive,289.5,261862.921875
unet_shuffle_inception_no_progressive,248.0,261931.40625
unet_shuffle_inception_no_progressive,104.0,262023.8125
unet_shuffle_inception_no_progressive,94.0,262057.1640625
unet_shuffle_inception_no_progressive,77.0,262066.93125
unet_shuffle_inception_no_progressive,211.0,261896.71875
unet_shuffle_inception_no_progressive,174.75,262023.328125
unet_shuffle_inception_no_progressive,406.5,261822.78125
