Modality,Annotation Size,TP
unet_shuffle_inception_no_progressive,52.75,0.000163372096722
unet_shuffle_inception_no_progressive,71.5,0.0415848605335
unet_shuffle_inception_no_progressive,30.25,0.01075764372946
unet_shuffle_inception_no_progressive,30.3333333333,3.8860006566800167
unet_shuffle_inception_no_progressive,28.0,0.5136480409907144
unet_shuffle_inception_no_progressive,20.25,0.077941156924
unet_shuffle_inception_no_progressive,9.33333333333,0.000152648164658
unet_shuffle_inception_no_progressive,26.0,1.316230311675015
unet_shuffle_inception_no_progressive,21.0,2.3086713476682656
unet_shuffle_inception_no_progressive,24.0,0.0010953228198269341
unet_shuffle_inception_no_progressive,40.75,0.000111616383947
unet_shuffle_inception_no_progressive,38.5,3.5365563973781127
unet_shuffle_inception_no_progressive,20.75,4.04301281378e-05
unet_shuffle_inception_no_progressive,19.0,0.023221717693137214
unet_shuffle_inception_no_progressive,6.0,0.5035323269274522
unet_shuffle_inception_no_progressive,16.0,0.03975384311177961
unet_shuffle_inception_no_progressive,29.5,0.0007383321503761349
unet_shuffle_inception_no_progressive,37.5,3.8355814744756636
unet_shuffle_inception_no_progressive,17.0,0.000483582950437551
unet_shuffle_inception_no_progressive,13.0,0.6712189356894485
unet_shuffle_inception_no_progressive,52.0,1.534206519337566
unet_shuffle_inception_no_progressive,40.0,0.4025020407806619
unet_shuffle_inception_no_progressive,80.0,7.343811256861955
unet_shuffle_inception_no_progressive,50.0,3.7757392440669677
unet_shuffle_inception_no_progressive,19.6666666667,0.0015496285961741705
unet_shuffle_inception_no_progressive,29.1666666667,0.963378489017
unet_shuffle_inception_no_progressive,45.25,0.00019697434163375
unet_shuffle_inception_no_progressive,63.0,0.1374234003025631
unet_shuffle_inception_no_progressive,31.3333333333,0.000463320015115
unet_shuffle_inception_no_progressive,124.0,4.79514983454e-06
unet_shuffle_inception_no_progressive,114.0,4.344780244400465
unet_shuffle_inception_no_progressive,127.666666667,60.0216407776
unet_shuffle_inception_no_progressive,203.0,74.47244834901501
unet_shuffle_inception_no_progressive,240.333333333,169.424758911
unet_shuffle_inception_no_progressive,147.0,17.5016819652721
unet_shuffle_inception_no_progressive,50.6666666667,0.000824600283522
